image_path,reference,prediction,motif_mentioned,used_prompt_mode,ground_truth_class,predicted_class,classification_confidence
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 2 Batik Lana (Pakis Tutul).jpg,"The batik fabric features the Malang motif, characterized by dark green tones. The main motifs include fern plants, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric features the malang motif, characterized by a dark green background and white motifs. The main motifs appear to be starfish-like in shape, with intricate details filled with small white dots resembling 'isen-isen'. These starfish motifs are scattered across the fabric, creating a random yet harmonious pattern. The 'isen-isen' within each starfish motif consists of smaller white dots arranged in a circular pattern, adding depth and texture to the design.",True,hard,Malang,malang,0.8088918924331665
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 15 Batik Soendari (Sido Candra Kapala).jpg,"The batik fabric features the Malang motif, characterized by chocolate, blue tones. The main motifs include lotus and candra kapala, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric features the sekarjagad motif, characterized by a blue background and red, brown, white, and beige motifs. The main motifs include circular patterns resembling flowers or mandalas, each filled with intricate designs such as dots, swirls, and lines. These central motifs are interspersed with smaller, more abstract shapes that fill the spaces between them, creating a dense and layered appearance. The overall pattern arrangement follows a symmetrical design, with the motifs arranged in a grid-like fashion across the fabric.",False,hard,Malang,sekarjagad,0.5962108373641968
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 5 Batik Kantil (Mas-mas Mbois).jpg,"The batik fabric features the Malang motif, characterized by brown, orange tones. The main motifs include people dressed in javanese traditional clothes and cempaka putih, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric features the malang motif, characterized by a brown background and colorful motifs. The main motifs consist of stylized human figures in various poses, including standing, sitting, and dancing, depicted in vibrant hues such as blue, green, red, yellow, and purple. These figures are interspersed with smaller, triangular ""isen-isen"" shapes that fill the spaces between them. The layout follows a symmetrical pattern, with rows of figures alternating directions to create a balanced and harmonious design across the entire fabric.",True,hard,Malang,malang,0.7394968271255493
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mulifah Data 11 Selempang Bandeng Lele.jpg,"The batik fabric features the Lamongan motif, characterized by red, black, white tones. The main motifs include milkfish and catfish, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric features the trenggalek motif, characterized by a black background and red and white motifs. The main motifs consist of stylized leaves or floral patterns in red, interspersed with smaller white flowers. These motifs are arranged diagonally across the fabric, creating a dynamic and flowing pattern. The spaces between these larger motifs are filled with intricate white 'isen-isen', which appear to be small, interconnected geometric shapes resembling dots or tiny flowers, adding depth and complexity to the overall design.",False,hard,Lamongan,trenggalek,0.7729614973068237
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 4 Batik Soendari (Ikan Maskoki).jpg,"The batik fabric features the Malang motif, characterized by dark blue, cream, pink tones. The main motifs include goldfish, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric features the malang motif, characterized by a dark navy blue background and pink and gold motifs. The main motifs consist of stylized fish with flowing tails, each filled with intricate white patterns resembling scales or feathers. These fish are interspersed with smaller, simpler shapes that resemble coral or seaweed, also in pink and gold, which fill the spaces between the larger fish designs. The layout follows a repeating pattern where the fish and coral/seaweed motifs alternate across the fabric, creating a harmonious and balanced design.",True,hard,Malang,malang,0.9514274001121521
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Istiqomah Data 6 Merak Nam Katil.jpg,"The batik fabric features the Lamongan motif, characterized by purple tones. The main motifs include peacock and nam, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric features the lamongan motif, characterized by a light beige background and purple, red, black, and white motifs. The main motifs include stylized flowers in various shapes such as circular blossoms and elongated petals, along with birds depicted in a simplified form. These motifs are interspersed within an intricate 'isen-isen' pattern that fills the spaces between them. The layout follows a symmetrical design, with floral patterns arranged in rows across the fabric, bordered at the bottom by a geometric border featuring diamond shapes and triangular points in shades of purple and black.",True,hard,Lamongan,lamongan,0.9582538604736328
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Rahayu (Kleten).jpg,"The batik fabric features the Trenggalek motif, characterized by sogan chocolate, black tones. The main motifs include jasmine flower flora, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric features the trenggalek motif, characterized by a black background and orange motifs. The main motifs consist of swirling, cursive lines that resemble flowing water or vines, creating an intricate network across the fabric. These swirls are filled with smaller, star-like shapes in red and white, known as 'isen-isen,' which add depth and detail to the design. The layout of the pattern follows a repeating grid, ensuring uniformity while maintaining a visually dynamic appearance.",True,hard,Trenggalek,trenggalek,0.7371113896369934
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 13 Batik Kantil (Buntel).jpg,"The batik fabric features the Malang motif, characterized by brown, green tones. The main motifs include jasmine flower, bunga kantil, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric features the malang motif, characterized by a greenish-blue background and orange-brown motifs. The main motifs appear to be abstract, possibly representing leaves or vines, with intricate patterns that include dots and lines. These motifs are interspersed throughout the fabric in a scattered yet balanced manner. The 'isen-isen', which fills the spaces between the larger motifs, consists of smaller, detailed designs resembling flowers and geometric shapes, adding depth and complexity to the overall pattern.",True,hard,Malang,malang,0.6104966998100281
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 23 Batik Soendari (Padma Latar Ceceg).jpg,"The batik fabric features the Malang motif, characterized by blue, cream tones. The main motifs include lotus and butterfly, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric features the malang motif, characterized by a dark purple background and light pink, blue, and white motifs. The main motifs include stylized birds and lotus flowers, intricately detailed in light pink and blue against the darker backdrop. The 'isen-isen', or filler patterns, consist of small, delicate floral designs in white, adding texture to the overall pattern. The layout follows a repeating geometric grid, creating a harmonious balance between the larger bird and flower motifs and the smaller, intricate fillers that connect them across the fabric's surface.",True,hard,Malang,malang,0.9428062438964844
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mulifah Data 7 Pring Sedapur (Serumpun).jpg,"The batik fabric features the Lamongan motif, characterized by black, brown tones. The main motifs include bamboo, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric features the lamongan motif, characterized by a black background and white motifs. The main motifs include stylized plants or trees with intricate branches and leaves, some resembling cacti or spiky foliage. These motifs are filled with small, delicate white dots known as 'isen-isen,' creating a textured appearance within the larger shapes. The layout arranges these motifs in a scattered yet balanced manner across the fabric, with no single motif dominating the composition.",True,hard,Lamongan,lamongan,0.9541308879852295
