image_path,ground_truth_class,predicted_class,classification_confidence,prediction,reference,philosophy_core,used_prompt_mode
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/wahyu_tumurun19.jpg,wahyu_tumurun,wahyu_tumurun,0.9718989133834839,nan,"In Javanese royal tradition, the Wahyu Tumurun motif represents the descent of divine favour, noble ambition, and spiritual guidance.","divine grace, spiritual guidance, noble aspiration, heavenly blessing",hard
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/dayak32.jpg,dayak,dayak,0.9895519614219666,"In Dayak culture, the Dayak motif represents bravery, reverence for nature, and the leadership that shelters the community.","In Dayak culture, the Dayak motif represents bravery, reverence for nature, and the leadership that shelters the community.","courage, harmony with nature, protection, ancestral strength",hard
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/sidomulyo78.jpg,sidomulyo,sidomulyo,0.9849610328674316,"In Javanese Mataram tradition, the Sidomulyo motif represents continuous glory, dignified life, and the mastery of one's inner impulses.","The philosophical meaning of the Sidomulyo motif reflects glory, enduring honour, and the pursuit of a dignified life.","glory, enduring honour, inner mastery, dignified life",hard
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/sidomukti121.jpg,sidomukti,sidomukti,0.975681483745575,"In Surakarta court tradition, the Sidomukti motif represents prosperity, inner contentment, and the blessing of a flourishing life.","Traditionally, the Sidomukti motif symbolizes enduring happiness, fulfilment, and spiritual wholeness.","enduring happiness, fulfilment, prosperity, spiritual wholeness",hard
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/wahyu_tumurun106.jpg,wahyu_tumurun,wahyu_tumurun,0.9874042272567749,nan,"In Javanese royal tradition, the Wahyu Tumurun motif represents the descent of divine favour, noble ambition, and spiritual guidance.","divine grace, spiritual guidance, noble aspiration, heavenly blessing",hard
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/srikaton150.jpg,srikaton,srikaton,0.9565157890319824,"In Javanese tradition, the Srikaton motif represents visible grace, the flourishing of nature, and the strength to overcome adversity.","The philosophical meaning of the Srikaton motif reflects divine radiance, natural abundance, and resilience.","divine radiance, natural abundance, resilience, visible grace",hard
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/dayak98.jpg,dayak,dayak,0.9641568660736084,"In Dayak culture, the Dayak motif represents bravery, reverence for nature, and the leadership that shelters the community.","The philosophical meaning of the Dayak motif reflects courage, harmony with nature, and the protective strength of ancestral wisdom.","courage, harmony with nature, protection, ancestral strength",hard
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/parang54.jpg,parang,parang,0.9924890995025635,"In Javanese culture, the Parang motif represents determination, resilience, and steadfast commitment.","The philosophical meaning of the Parang motif reflects inner strength, persistence, and lifelong growth.","perseverance, courage, continuity, relentless self-improvement",hard
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/jlamprang24.jpg,jlamprang,sekarjagad,0.3486400842666626,"In Javanese culture, the Sekarjagad motif represents the celebration of diversity, universal harmony, and the wish to radiate goodness.","Traditionally, the Jlamprang motif symbolizes cosmic balance, spiritual order, and sacred connection with the divine.","cosmic balance, spiritual order, sacred connection, divine harmony",hard
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/mega_mendung79.jpg,mega_mendung,mega_mendung,0.980548620223999,nan,"In Cirebonese court culture, the Mega Mendung motif represents composure, inner peace, and the grace of divine protection.","patience, emotional calm, spiritual serenity, divine protection",hard
