name,class,image_path,caption_en,split,philosophy_en,philosophy_core
Bandeng Lele Daun Waru,Lamongan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mutiara S Data 5 Bandeng Lele Daun Waru.jpg,"The batik fabric features the Lamongan motif, characterized by greenish brown, white, red, black motifs. The dominant motifs include milkfish and catfish and sea hibiscus leaves. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,Living side by side about simple fragments of life./ Living in harmony with the simple fragments of life./ 素朴な人生の断片と共に生きる。,
Kupu-Kupu Bunga Krisan,Lamongan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Azyfa_35241420060308_Kupu- Kupu Bunga Krisan_2020_FAUNA_FLORA.jpg,"The batik fabric features the Lamongan motif, characterized by black, blue, golden brown motifs. The dominant motifs include butterfly and chrysanthemum. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,Inspired by the beauty of butterflies fluttering among chrysanthemum flowers.,
Daun Talas Bunga Sendurat,Lamongan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Azyfa_35241420060304_Daun Talas Bunga Sendurat_2025_FLORA.jpg,"The batik fabric features the Lamongan motif, characterized by black, red, sogam, blue motifs. The dominant motifs include daisy. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,Combining the taro leaf motif with its wide and strong shape and the daisy flower which symbolizes simplicity and cheerfulness. Teaches the importance of maintaining a balance between determination and cheerfulness in living life.,
Daun Sawo,Lamongan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Jayyida Data 2 Daun Sawo.jpg,"The batik fabric features the Lamongan motif, characterized by maroon, black, white motifs. The dominant motifs include sapodilla leaves. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,There are lots of sapodillas in Sendang Duwur,
Sekar Setaman,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 24 Batik Wagastu (Sekar Setaman).jpg,"The batik fabric features the Malang motif, characterized by black, white motifs. The dominant motifs include trumpet plant. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"The pristine natural beauty of the Purwodadi botanical garden. This motif reflects the richness of flora, balance of life, and natural harmony that is continuously maintained.",
Daniswara Nirbaya,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 19 Batik Blimbing (Daniswara Nirbaya).jpg,"The batik fabric features the Malang motif, characterized by purple, pink motifs. The dominant motifs include hibiscus and mask, kawung, elemen api. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",train,Nirbaya flowers (hibiscus) symbolize prosperity. This motif is combined with the traditional art of Mask Malang.,
Topeng Gandring Ista,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 16 Batik Blimbing (Topeng Gandring Ista).jpg,"The batik fabric features the Malang motif, characterized by blue, white motifs. The dominant motifs include monument and panji mask, ragil kuning. The motifs are arranged in a simetris pattern across the fabric, creating a harmonious and balanced composition.",train,Raising the traditional art of the Malangan Mask dance which is an icon of the city of Malang. There are 7 types of masks contained in this batik.,
Daniswara Jiwa Trisna,Malang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 12 Batik Blimbing (Daniswara Jiwa Trisna).jpg,"The batik fabric features the Malang motif, characterized by black, blue motifs. The dominant motifs include hibiscus, butterfly and mask, koin. The motifs are arranged in a simetris pattern across the fabric, creating a harmonious and balanced composition.",train,"Lifting the ornaments from the crowns of the Panji and Ragil Kuning masks, and combining them with butterflies as a sweetener.",
Singo Mengkok Melati,Lamongan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Jayyida Data 6 Singo Mengkok Melati.jpg,"The batik fabric features the Lamongan motif, characterized by maroon, turmeric yellow motifs. The dominant motifs include singo mengkok and jasmine. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,Village level design competition/ /Village level design competition/ 村レベルのデザインコンテスト,
Bandeng Lele Melati,Lamongan,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Jayyida Data 12  Bandeng Lele Melati.jpg,"The batik fabric features the Lamongan motif, characterized by bright pink, red motifs. The dominant motifs include milkfish and catfish and jasmine. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",train,"Combining the symbols of milkfish and catfish, which represent the abundance of water resources, with jasmine and roses, which symbolize purity and elegance./",
