No.,Class,Asal,Philosophy_Core,Variasi 1,Variasi 2,Variasi 3
1,Betawi,Jakarta / Betawi,"multicultural openness, communal harmony, joyful identity, cultural pride","Traditionally, the Betawi motif symbolizes multicultural openness, communal harmony, and joyful cultural identity.","In Betawi culture, the Betawi motif represents cross-cultural harmony, communal cheerfulness, and pride in a diverse urban identity.","The philosophical meaning of the Betawi motif reflects multicultural openness, communal harmony, and joyful identity."
2,Bokor Kencono,Jawa Tengah,"dignity, wisdom, authority, noble character","Traditionally, the Bokor Kencono motif symbolizes dignity, wisdom, and enduring authority.","In Javanese culture, the Bokor Kencono motif represents noble character, inner wisdom, and commanding dignity.","The philosophical meaning of the Bokor Kencono motif reflects dignity, wisdom, and the aspiration for lasting authority."
3,Buketan,Pekalongan,"joy, beauty, purity, feminine grace, cheerfulness","Traditionally, the Buketan motif symbolizes joy, beauty, purity, and feminine grace.","In Pekalongan culture, the Buketan motif represents feminine elegance, inner purity, and blossoming happiness.","The philosophical meaning of the Buketan motif reflects joy, natural beauty, purity, and graceful femininity."
4,Dayak,Kalimantan,"courage, harmony with nature, protection, ancestral strength","Traditionally, the Dayak motif symbolizes courage, harmony with nature, and protective ancestral strength.","In Dayak culture, the Dayak motif represents bravery, reverence for nature, and the leadership that shelters the community.","The philosophical meaning of the Dayak motif reflects courage, harmony with nature, and the protective strength of ancestral wisdom."
5,Jlamprang,Pekalongan,"cosmic balance, spiritual order, sacred connection, divine harmony","Traditionally, the Jlamprang motif symbolizes cosmic balance, spiritual order, and sacred connection with the divine.","In Pekalongan's spiritual tradition, the Jlamprang motif represents divine harmony, sacred order, and the link between humanity and the cosmos.","The philosophical meaning of the Jlamprang motif reflects cosmic balance, spiritual order, and sacred connection with the divine."
6,Kawung,Yogyakarta,"purity of heart, self-mastery, life cycle, moral balance","Traditionally, the Kawung motif symbolizes purity of heart, self-mastery, and the eternal cycle of human life.","In Javanese royal culture, the Kawung motif represents moral integrity, inner balance, and the wisdom of knowing one's origins.","The philosophical meaning of the Kawung motif reflects purity of heart, self-mastery, and moral balance in life."
7,Liong,Pekalongan,"divine power, protection, prosperity, celestial benevolence","Traditionally, the Liong motif symbolizes divine power, protection, and enduring prosperity.","In Sino-Javanese tradition, the Liong motif represents celestial strength, protection from misfortune, and the blessing of abundance.","The philosophical meaning of the Liong motif reflects divine power, protection, and the blessing of prosperity."
8,Mega Mendung,Cirebon,"patience, emotional calm, spiritual serenity, divine protection","Traditionally, the Mega Mendung motif symbolizes patience, emotional calm, and spiritual serenity.","In Cirebonese court culture, the Mega Mendung motif represents composure, inner peace, and the grace of divine protection.","The philosophical meaning of the Mega Mendung motif reflects patience, emotional calm, and spiritual serenity."
9,Parang,Solo / Mataram,"perseverance, courage, continuity, relentless self-improvement","Traditionally, the Parang motif symbolizes perseverance, courage, and continuity in life.","In Javanese culture, the Parang motif represents determination, resilience, and steadfast commitment.","The philosophical meaning of the Parang motif reflects inner strength, persistence, and lifelong growth."
10,Sekarjagad,Solo / Yogyakarta,"beauty of diversity, universal harmony, radiance, coexistence","Traditionally, the Sekarjagad motif symbolizes the beauty of diversity, universal harmony, and joyful coexistence.","In Javanese culture, the Sekarjagad motif represents the celebration of diversity, universal harmony, and the wish to radiate goodness.","The philosophical meaning of the Sekarjagad motif reflects the beauty of diversity, universal harmony, and radiant coexistence."
