name,class,image_path,caption_en,philosophy_en,philosophy_core,split
wahyu_tumurun62.jpg,wahyu_tumurun,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/wahyu_tumurun62.jpg,"The batik fabric features the wahyu_tumurun motif, characterized by a black background and orange motifs. The dominant motifs include stylized flowers and leaves, some resembling lotus blossoms, with intricate petal-like structures. These floral elements are interspersed with swirling vines and abstract ornamentation. Small dots and short lines, known as isen-isen, are used as fillers between the larger motifs, adding texture and detail. The motifs are arranged in a repetitive pattern across the fabric, creating a symmetrical design that extends horizontally and vertically. The overall layout follows a grid-like structure, ensuring uniformity and balance throughout the piece.","In Javanese royal tradition, the Wahyu Tumurun motif represents the descent of divine favour, noble ambition, and spiritual guidance.","divine grace, spiritual guidance, noble aspiration, heavenly blessing",train
liong68.jpg,liong,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/liong68.jpg,"The batik fabric features the liong motif, characterized by a white background and red, blue, green, and black motifs. The dominant motifs include stylized dragons with flowing bodies and intricate scales, interspersed with smaller floral elements such as leaves and flowers. These motifs are repeated throughout the fabric, creating a dense pattern. The small dots and short lines act as isen-isen elements, adding texture and detail between the larger motifs. The arrangement follows a symmetrical design, with the dragons positioned centrally and the floral elements filling the spaces around them, ensuring a balanced and harmonious composition.","In Sino-Javanese tradition, the Liong motif represents celestial strength, protection from misfortune, and the blessing of abundance.","divine power, protection, prosperity, celestial benevolence",train
sidoluhur128.jpg,sidoluhur,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/sidoluhur128.jpg,"The batik fabric features the sidoluhur motif, characterized by a dark blue background and beige motifs. The dominant motifs include intricate floral elements such as lotus blossoms and leaves, arranged symmetrically around central star-like figures. These floral patterns are connected by swirling vines and tendrils, creating a complex network across the fabric. Small dots and short lines act as isen-isen elements, filling gaps between larger motifs and adding texture to the design. The motifs repeat consistently throughout the fabric, maintaining a balanced and harmonious layout.","Traditionally, the Sidoluhur motif symbolizes noble character, moral elevation, and dignified exemplary conduct.","noble character, moral elevation, dignity, exemplary conduct",train
liong24.jpg,liong,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/liong24.jpg,"The batik fabric features the liong motif, characterized by a white background and red, blue, and brown motifs. The dominant motifs include stylized flowers and leaves, arranged in a repeating pattern across the fabric. These floral elements are interspersed with small dots and short lines, which serve as isen-isen elements, adding texture and detail to the design. The motifs are oriented in various directions, creating a dynamic and balanced composition. The overall layout appears symmetrical, with each section of the fabric mirroring the next, ensuring a harmonious and cohesive appearance throughout the entire piece.","The philosophical meaning of the Liong motif reflects divine power, protection, and the blessing of prosperity.","divine power, protection, prosperity, celestial benevolence",train
singa_barong122.jpg,singa_barong,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/singa_barong122.jpg,"The batik fabric features the singa_barong motif, characterized by a white background and gold and black motifs. The dominant motifs include two large, mythical creatures resembling lions with wings, known as Barongs, depicted in a dynamic pose, one on each side of the fabric. These Barongs have intricate details such as scales, feathers, and ornate crowns. Between them, there are circular wheels connected by spokes, suggesting a chariot-like structure. Above these central figures, smaller birds and plants are scattered, adding to the complexity of the design. The fabric also includes small decorative elements like dots and lines, which serve as filler patterns between larger motifs. The overall arrangement shows a balanced symmetry with the Barongs facing each other, and the wheels positioned centrally, creating a harmonious composition.","In Cirebonese court culture, the Singa Barong motif represents sacred authority, the harmony of natural forces, and complete sovereignty.","mythological power, elemental unity, visionary leadership, sacred authority",train
wirasat6.jpg,wirasat,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/wirasat6.jpg,"The batik fabric features the wirasat motif, characterized by a golden-brown background and intricate orange and dark brown motifs. The dominant motifs include diamond-shaped patterns with detailed carvings resembling floral elements and geometric forms. These diamonds are arranged in a repeating pattern across the fabric, creating a symmetrical design. Small dots and short lines, known as isen-isen, are interspersed within the larger motifs, adding texture and depth to the overall composition. The motifs are oriented consistently throughout the fabric, maintaining a balanced and harmonious layout.","Traditionally, the Wirasat motif symbolizes the fulfilment of wholesome wishes, elevated standing, and life's sufficiency.","fulfilment of wishes, elevated standing, sufficiency, parental blessing",train
tribusono95.jpg,tribusono,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/tribusono95.jpg,"The batik fabric features the tribusono motif, characterized by a deep blue background and orange, gold, and black motifs. The dominant motifs include stylized flowers with intricate petal patterns and swirling leaves, creating a dynamic and flowing design. Small dots and short lines, known as isen-isen, are interspersed throughout the fabric, adding texture and detail to the overall pattern. The motifs are arranged in a repetitive yet varied manner, with some overlapping and others spaced apart, creating a balanced and harmonious composition. The layout structure includes a mix of vertical and horizontal orientations, contributing to the complexity and richness of the design.","In Surakarta batik tradition, the Tribusono motif represents the balance of physical, social, and spiritual dimensions of life.","regeneration, harmony, cultural continuity, ecological awareness",train
jlamprang136.png,jlamprang,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/jlamprang136.png,"The batik fabric features the jlamprang motif, characterized by a yellow background and red, green, blue, and black motifs. The dominant motifs consist of intricate geometric patterns resembling stylized flowers or starbursts, each radiating outward from a central point. These motifs are interspersed with smaller, repeating elements such as small dots and short lines, which act as isen-isen fillers between larger designs. The motifs are arranged symmetrically within circular frames, creating a balanced and harmonious pattern throughout the fabric. Each frame contains one large motif surrounded by smaller decorative elements, ensuring a cohesive yet varied design across the entire piece.","In Pekalongan's spiritual tradition, the Jlamprang motif represents divine harmony, sacred order, and the link between humanity and the cosmos.","cosmic balance, spiritual order, sacred connection, divine harmony",train
bokor_kencono35.jpg,bokor_kencono,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/bokor_kencono35.jpg,"The batik fabric features the bokor_kencono motif, characterized by a dark blue background and golden motifs. The dominant motifs include stylized flowers and leaves arranged symmetrically around central circular patterns. These motifs are intricately detailed with small dots and short lines within their structures, adding depth and texture. The motifs repeat consistently across the fabric, maintaining a balanced and harmonious layout. Each motif is oriented uniformly, contributing to the overall symmetrical design of the batik.","The philosophical meaning of the Bokor Kencono motif reflects dignity, wisdom, and the aspiration for lasting authority.","dignity, wisdom, authority, noble character",train
mega_mendung145.jpg,mega_mendung,/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/mega_mendung145.jpg,"The batik fabric features the mega_mendung motif, characterized by a black background and gold motifs. The dominant motifs consist of swirling, cloud-like shapes with pointed tips, resembling stylized clouds or abstract waves. These motifs are arranged in a repetitive pattern across the fabric, creating a dynamic and flowing effect. The motifs are oriented in various directions, adding depth and movement to the design. There are no visible isen-isen elements such as small dots or short lines within the motifs themselves; instead, the contrast between the black background and the gold motifs creates a striking visual impact. The overall layout appears symmetrical but with slight variations in the positioning of each motif, enhancing the sense of rhythm and flow throughout the fabric.","Traditionally, the Mega Mendung motif symbolizes patience, emotional calm, and spiritual serenity.","patience, emotional calm, spiritual serenity, divine protection",train
