image_path,reference,prediction,motif_mentioned,used_prompt_mode,ground_truth_class,predicted_class,classification_confidence
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 2 Batik Lana (Pakis Tutul).jpg,"The batik fabric features the Malang motif, characterized by dark green tones. The main motifs include fern plants, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a dark green background and white motifs. The main motifs appear to be starfish-like, each composed of numerous small dots forming their shape. These starfish motifs are scattered across the fabric in a seemingly random yet evenly distributed pattern. The 'isen-isen', or the spaces between the motifs, are filled with smaller white dots, creating a textured effect that enhances the overall design.",False,no_class,Malang,malang,0.8088918924331665
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 15 Batik Soendari (Sido Candra Kapala).jpg,"The batik fabric features the Malang motif, characterized by chocolate, blue tones. The main motifs include lotus and candra kapala, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a blue background and red, brown, white, and beige motifs. The main motifs include circular patterns resembling flowers or rosettes, some with intricate dotting in their centers. These motifs are interspersed with smaller, more abstract shapes that fill the spaces between them, including star-like figures and swirling designs. The layout appears to be arranged in a grid-like pattern, creating a harmonious balance across the entire surface.",False,no_class,Malang,sekarjagad,0.5962108373641968
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 5 Batik Kantil (Mas-mas Mbois).jpg,"The batik fabric features the Malang motif, characterized by brown, orange tones. The main motifs include people dressed in javanese traditional clothes and cempaka putih, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a dark brown background and colorful motifs, including figures resembling people in various poses and abstract shapes like triangles and diamonds. The figures have distinct heads, bodies, and limbs, while the abstract shapes are filled with smaller, lighter-colored elements that resemble leaves or petals. These motifs are arranged in rows across the fabric, creating a symmetrical pattern that extends horizontally from left to right. The 'isen-isen' filling the spaces between the larger motifs consists of these leaf-like shapes scattered throughout, adding texture and visual interest to the overall design.",False,no_class,Malang,malang,0.7394968271255493
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mulifah Data 11 Selempang Bandeng Lele.jpg,"The batik fabric features the Lamongan motif, characterized by red, black, white tones. The main motifs include milkfish and catfish, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a black background and red, white, and beige motifs. The main motifs include stylized leaves or floral patterns that are repeated in a diagonal zigzag pattern across the fabric. These motifs are filled with smaller, intricate designs resembling dots and small flowers, creating an 'isen-isen' effect within each larger shape. The overall layout features a symmetrical arrangement where these motifs alternate between red and beige, with white accents providing contrast against the dark background.",False,no_class,Lamongan,trenggalek,0.7729614973068237
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 4 Batik Soendari (Ikan Maskoki).jpg,"The batik fabric features the Malang motif, characterized by dark blue, cream, pink tones. The main motifs include goldfish, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a dark navy blue background and pink, gold, and white motifs. The main motifs consist of stylized fish with flowing tails, each filled with intricate patterns that resemble scales or feathers in shades of pink and gold. These fish are interspersed with smaller, simpler shapes resembling coral or seaweed, which are outlined in white against the dark background. The layout of the fabric features a repeating pattern where these motifs are arranged in rows across the surface, creating a harmonious and balanced design.",False,no_class,Malang,malang,0.9514274001121521
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Istiqomah Data 6 Merak Nam Katil.jpg,"The batik fabric features the Lamongan motif, characterized by purple tones. The main motifs include peacock and nam, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a light beige background and floral motifs in shades of purple, red, black, and blue. The main motifs include stylized flowers and birds, with the flowers having five petals each and the birds featuring long, flowing tails. The 'isen-isen', or filler patterns, consist of small dots arranged in a grid-like fashion throughout the background. The layout features a symmetrical design with the central area filled predominantly with the floral and bird motifs, while the bottom section showcases a repeating pattern of diamond shapes outlined in purple against a beige background.",False,no_class,Lamongan,lamongan,0.9582538604736328
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Rahayu (Kleten).jpg,"The batik fabric features the Trenggalek motif, characterized by sogan chocolate, black tones. The main motifs include jasmine flower flora, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a black background and orange motifs. The main motifs consist of swirling, cursive lines that resemble stylized leaves or vines, while smaller red and white star-like shapes fill in the spaces between them. These star-shaped elements have a central point surrounded by radiating lines. The layout of the pattern appears to be random yet balanced, with no discernible repeating rows or columns, creating an overall symmetrical appearance across the entire surface.",False,no_class,Trenggalek,trenggalek,0.7371113896369934
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 13 Batik Kantil (Buntel).jpg,"The batik fabric features the Malang motif, characterized by brown, green tones. The main motifs include jasmine flower, bunga kantil, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a greenish-brown background and orange, yellow, pink, and white motifs. The main motifs appear to be abstract, possibly resembling leaves or vines, with intricate patterns that include dots and lines. These motifs are interspersed throughout the fabric in a seemingly random yet harmonious manner. The 'isen-isen', which fills the spaces between the larger motifs, consists of smaller, detailed designs such as flowers, leaves, and geometric shapes, adding depth and complexity to the overall pattern. The layout appears to follow no strict grid but rather a more organic flow, creating a visually engaging and dynamic design across",False,no_class,Malang,malang,0.6104966998100281
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 23 Batik Soendari (Padma Latar Ceceg).jpg,"The batik fabric features the Malang motif, characterized by blue, cream tones. The main motifs include lotus and butterfly, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a dark purple background and light pink, blue, and white motifs. The main motifs include stylized birds and lotus flowers, which are intricately detailed with fine lines. The 'isen-isen', or filler patterns, consist of small dots and simple geometric shapes in various shades of pink, blue, and white, interspersed throughout the design to fill the spaces between larger elements. The layout follows a repeating pattern where the bird and lotus motifs alternate, creating a balanced and harmonious overall design across the fabric's surface.",False,no_class,Malang,malang,0.9428062438964844
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mulifah Data 7 Pring Sedapur (Serumpun).jpg,"The batik fabric features the Lamongan motif, characterized by black, brown tones. The main motifs include bamboo, with intricate details shaping its visual identity. The 'isen-isen' consists of delicate patterns that fill the spaces between the larger motifs, adding texture and depth to the design. The pattern appears in a non-geometric arrangement, creating a harmonious and balanced composition across the surface.","The batik fabric is characterized by a black background and white motifs. The main motifs include stylized plants or trees, each featuring intricate branches and leaves. These motifs are filled with small, delicate white dots known as 'isen-isen,' which create a textured appearance within the larger shapes. The layout of the fabric shows these plant motifs scattered across the surface in a somewhat random yet balanced pattern, creating an overall harmonious design that fills the entire visible area without any empty space remaining.",False,no_class,Lamongan,lamongan,0.9541308879852295
