CODE,CLASS,NAME,THEME,COLOR,TECHNIQUE,FABRIC,DYE,SHAPE,HISTORY,CAPTION_ID,CAPTION_EN,Image_Path
Data 1 Batik Baronggung (Gayatri Putri),Tulungagung,Gayatri Putri,CULTURE (Candi Gayatri) // FLORA (Tanaman hayat),"Hijau muda, hijau tua",Cap dan Tulis,Primisima,Sintetis,Geometris,"Terinspirasi dari keagungan sejarah dengan motif tanaman hayat, melambangkan kehidupan dan kebijaksanaan. Ornamen candi yang megah berpadu dengan sulur-sulur tumbuhan, mencerminkan spiritualitas, keluhuran, serta keharmonisan alam dan budaya Tulungagung","Gayatri Putri merupakan mahakarya kelas Batik Tulungagung dengan tata letak geometris. Warna yang digunakan adalah hijau muda dan hijau tua, membentuk motif utama candi gayatri dan tanaman hayat. Dibuat dengan teknik cap dan tulis menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Terinspirasi dari keagungan sejarah dengan motif tanaman hayat, melambangkan kehidupan dan kebijaksanaan. Ornamen candi yang megah berpadu dengan sulur-sulur tumbuhan, mencerminkan spiritualitas, keluhuran, serta keharmonisan alam dan budaya Tulungagung","The batik fabric features the Tulungagung motif, characterized by light green, dark green motifs. The dominant motifs include gayatri temple and living plants. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Baronggung (Gayatri Putri).jpg
Data 2 Batik Baronggung (Jahewono),Tulungagung,Jahewono,FLORA (Tanaman Jahe),"Merah, hitam",Handprinting,Primisima,Sintetis,Non-geometris,"Terinspirasi dari kesegaran pemandian alami yang dikelilingi tanaman jahe. Motif daun jahe melambangkan kesucian, kesehatan, dan ketentraman","Jahewono merupakan mahakarya kelas Batik Tulungagung dengan tata letak non-geometris. Warna yang digunakan adalah merah dan hitam, membentuk motif utama tanaman jahe. Dibuat dengan teknik cetak manual (handprinting) menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Terinspirasi dari kesegaran pemandian alami yang dikelilingi tanaman jahe. Motif daun jahe melambangkan kesucian, kesehatan, dan ketentraman","The batik fabric features the Tulungagung motif, characterized by red, black motifs. The dominant motifs include ginger plant. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 2 Batik Baronggung (Jahewono).jpg
Data 3 Batik Baronggung (Ombak Segoro),Tulungagung,Ombak Segoro,NATURE (Laut),"Merah, hitam",Handprinting,Primisima,Sintetis,Non-geometris,"Menggambarkan keindahan deretan pantai dengan motif ombak yang dinamis. Pola bergelombang mencerminkan kekuatan dan ketenangan laut, kehidupan pesisir yang penuh kearifan.","Ombak Segoro merupakan mahakarya kelas Batik Tulungagung dengan tata letak non-geometris. Warna yang digunakan adalah merah dan hitam, membentuk motif utama laut. Dibuat dengan teknik cetak manual (handprinting) menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Menggambarkan keindahan deretan pantai dengan motif ombak yang dinamis. Pola bergelombang mencerminkan kekuatan dan ketenangan laut, kehidupan pesisir yang penuh kearifan.","The batik fabric features the Tulungagung motif, characterized by red, black motifs. The dominant motifs include sea. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 3 Batik Baronggung (Ombak Segoro).jpg
Data 4 Batik Baronggung (Terumbu Karang),Tulungagung,Terumbu Karang,FAUNA (Terumbu karang),"Biru, hitam",Handprinting,Primisima,Sintetis,Non-geometris,Keindahan pantai dengan motif terumbu karang yang cantik dan beragam. Pola unik melambangkan kekayaan bahari dan keseimbangan ekosistem.,"Terumbu Karang merupakan mahakarya kelas Batik Tulungagung dengan tata letak non-geometris. Warna yang digunakan adalah biru dan hitam, membentuk motif utama terumbu karang. Dibuat dengan teknik cetak manual (handprinting) menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Keindahan pantai dengan motif terumbu karang yang cantik dan beragam. Pola unik melambangkan kekayaan bahari dan keseimbangan ekosistem.","The batik fabric features the Tulungagung motif, characterized by blue, black motifs. The dominant motifs include coral reefs. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 4 Batik Baronggung (Terumbu Karang).jpg
Data 5 Batik Baronggung (Bunga Nirwana 1),Tulungagung,Bunga Nirwana 1,FLORA ( Bunga anggrek),"Hijau, merah",Handprinting,Primisima,Sintetis,Non-geometris,"Keindahan bunga bermekaran yang terinspirasi dari perjalanan seorang pembatik ke taman penuh warna. Motif bunga yang anggun melambangkan kebahagiaan, keceriaan, dan harapan, menciptakan harmoni antara alam","Bunga Nirwana 1 merupakan mahakarya kelas Batik Tulungagung dengan tata letak non-geometris. Warna yang digunakan adalah hijau dan merah, membentuk motif utama bunga anggrek. Dibuat dengan teknik cetak manual (handprinting) menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Keindahan bunga bermekaran yang terinspirasi dari perjalanan seorang pembatik ke taman penuh warna. Motif bunga yang anggun melambangkan kebahagiaan, keceriaan, dan harapan, menciptakan harmoni antara alam","The batik fabric features the Tulungagung motif, characterized by green, red motifs. The dominant motifs include orchid flower. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 5 Batik Baronggung (Bunga Nirwana 1).jpg
Data 6 Batik Baronggung (Bunga Nirwana 2),Tulungagung,Bunga Nirwana 2,FLORA ( Bunga anggrek),"Biru, Merah",Handprinting,Primisima,Sintetis,Non-geometris,"Keindahan bunga bermekaran yang terinspirasi dari perjalanan seorang pembatik ke taman penuh warna. Motif bunga yang anggun melambangkan kebahagiaan, keceriaan, dan harapan, menciptakan harmoni antara alam","Bunga Nirwana 2 merupakan mahakarya kelas Batik Tulungagung dengan tata letak non-geometris. Warna yang digunakan adalah biru dan merah, membentuk motif utama bunga anggrek. Dibuat dengan teknik cetak manual (handprinting) menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Keindahan bunga bermekaran yang terinspirasi dari perjalanan seorang pembatik ke taman penuh warna. Motif bunga yang anggun melambangkan kebahagiaan, keceriaan, dan harapan, menciptakan harmoni antara alam","The batik fabric features the Tulungagung motif, characterized by blue, red motifs. The dominant motifs include orchid flower. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 6 Batik Baronggung (Bunga Nirwana 2).jpg
Data 7 Batik Baronggung (Tiga Negeri),Tulungagung,Tiga Negeri,"FLORA (Tanaman padi, jahe) // CULTURE(Motif sidomukti)","Canary, hijau emerald",Cap,Primisima,Sintetis,Geometris,"Memadukan keunikan cap dengan motif Sidomukti yang melambangkan kemakmuran, Jahewono sebagai simbol kesuburan, dan Pari Sakuri yang mencerminkan kesejahteraan. Perpaduan harmonis ini menciptakan keindahan batik yang sarat makna budaya dan kearifan lokal.","Tiga Negeri merupakan mahakarya kelas Batik Tulungagung dengan tata letak geometris. Warna yang digunakan adalah canary dan hijau emerald, membentuk motif utama tanaman padi, jahe dan otif sidomukti. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Memadukan keunikan cap dengan motif Sidomukti yang melambangkan kemakmuran, Jahewono sebagai simbol kesuburan, dan Pari Sakuri yang mencerminkan kesejahteraan. Perpaduan harmonis ini menciptakan keindahan batik yang sarat makna budaya dan kearifan lokal.","The batik fabric features the Tulungagung motif, characterized by canaries, emerald green motifs. The dominant motifs include rice plants, ginger and otif sidomukti. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 7 Batik Baronggung (Tiga Negeri).jpg
Data 8 Batik Baronggung (Anggrek Argo Wilis),Tulungagung,Anggrek Argo Wilis,FLORA ( Bunga anggrek),"Hijau tua, hijau muda",Cap,Primisima,Sintetis,Geometris,"menggambarkan kejayaan masa lalu saat pantai di era Belanda dan Argo Wilis menjadi pusat berkembangnya anggrek. Motif anggrek yang elegan melambangkan keindahan, ketahanan, dan warisan alam yang terus lestari.","Anggrek Argo Wilis merupakan mahakarya kelas Batik Tulungagung dengan tata letak geometris. Warna yang digunakan adalah hijau tua dan hijau muda, membentuk motif utama bunga anggrek. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, menggambarkan kejayaan masa lalu saat pantai di era Belanda dan Argo Wilis menjadi pusat berkembangnya anggrek. Motif anggrek yang elegan melambangkan keindahan, ketahanan, dan warisan alam yang terus lestari.","The batik fabric features the Tulungagung motif, characterized by dark green, light green motifs. The dominant motifs include orchid flower. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 8 Batik Baronggung (Anggrek Argo Wilis).jpg
Data 9 Batik Baronggung (Cumi-Cumi),Tulungagung,Cumi-cumi,FAUNA (Cumi-cumi),"Coklat, kuning",Cap,Primisima,Sintetis,Non-geometris,Terinspirasi dari kekayaan laut Kota Tulungagung . Dengan menampilan cumi-cumi sebagai motif utama didalamnya.,"Cumi-cumi merupakan mahakarya kelas Batik Tulungagung dengan tata letak non-geometris. Warna yang digunakan adalah coklat dan kuning, membentuk motif utama cumi-cumi. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Terinspirasi dari kekayaan laut Kota Tulungagung . Dengan menampilan cumi-cumi sebagai motif utama didalamnya.","The batik fabric features the Tulungagung motif, characterized by chocolate, yellow motifs. The dominant motifs include squid. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 9 Batik Baronggung (Cumi-Cumi).jpg
Data 10 Batik Baronggung (Sisik Ikan),Tulungagung,Sisik Ikan,FAUNA (Ikan mas koki) // CULTURE(Motif parang),"Brich red, coklat muda",Cap dan Tulis,Primisima,Sintetis,Geometris,"Tulungagung sebagai penghasil ikan mas kok tertinggi di Jawa Timur. Melambangkan kesuburan, kemakmuran dan keberuntungan","Sisik Ikan merupakan mahakarya kelas Batik Tulungagung dengan tata letak geometris. Warna yang digunakan adalah brich red dan coklat muda, membentuk motif utama ikan mas koki dan otif parang. Dibuat dengan teknik cap dan tulis menggunakan pewarna sintetis pada kain Primisima. Secara filosofis, Tulungagung sebagai penghasil ikan mas kok tertinggi di Jawa Timur. Melambangkan kesuburan, kemakmuran dan keberuntungan","The batik fabric features the Tulungagung motif, characterized by brich red, light brown motifs. The dominant motifs include goldfish and machete otif. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 10 Batik Baronggung (Sisik Ikan).jpg
