image_path,reference,prediction,ground_truth_class,predicted_class,dinov2_class,dinov2_confidence,motif_mentioned,used_prompt_mode,classification_confidence
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 5 Batik Kantil (Mas-mas Mbois).jpg,"The batik fabric features the Malang motif, characterized by brown, orange motifs. The dominant motifs include people dressed in javanese traditional clothes and cempaka putih. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the malang motif, characterized by brown, orange, blue, and purple motifs. the dominant motif elements appear to be stylized figures resembling people wearing traditional attire. these figures are interspersed among smaller, leaf-like shapes that resemble flowers or feathers. the motifs are arranged in a repeating pattern across the fabric, creating a dense yet balanced layout. there are no clear signs of isen-isens within this particular section of the batik.",Malang,malang,malang,0.6949658989906311,True,hard,0.6949658989906311
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 4 Batik Soendari (Ikan Maskoki).jpg,"The batik fabric features the Malang motif, characterized by dark blue, cream, pink motifs. The dominant motifs include goldfish. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the malang motif, characterized by black, pink, gold, and white motifs. the dominant motif elements appear to be stylized fish and abstract plant forms. these motifs are arranged in a repeating pattern across the fabric, creating a dense yet balanced layout that covers much of the surface area. there are no clear indications of isen-isens within this particular section of the batik.",Malang,malang,malang,0.6839308142662048,True,hard,0.6839308142662048
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 7 Batik Tiepuk (Sulur Anggrek Cengkeh).jpg,"The batik fabric features the Trenggalek motif, characterized by golden yellow, black motifs. The dominant motifs include flora of vines, cloves, orchids. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the trenggalek motif, characterized by black, orange, and white motifs. the dominant motif elements appear to be stylized tree branches adorned with small flowers and leaves. these motifs are arranged diagonally across the fabric, creating a flowing pattern that extends from one side to another. the spacing between the motifs varies slightly but remains relatively consistent throughout the design. small dots and short lines are interspersed among the larger motifs, adding texture and detail to the overall composition.",Trenggalek,trenggalek,trenggalek,0.9947348833084106,True,hard,0.9947348833084106
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 13 Batik Kantil (Buntel).jpg,"The batik fabric features the Malang motif, characterized by brown, green motifs. The dominant motifs include jasmine flower, bunga kantil. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the lamongan motif, characterized by gold, brown, teal, and pink motifs. the dominant motif elements appear to be abstract plant forms and possibly stylized animals. these motifs are arranged in a non-geometric pattern, with varying densities and orientations that create a dynamic and layered effect on the fabric. small dots and short lines are interspersed throughout, adding texture and detail to the overall design.",Malang,lamongan,lamongan,0.728938102722168,False,hard,0.728938102722168
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 26 Batik Rahayu (Sido Mukti Rahayu).jpg,"The batik fabric features the Trenggalek motif, characterized by chocolate sogan motifs. The dominant motifs include orchid flowers, cloves and sido mukti motif. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the tulungagung motif, characterized by orange, black, and white motifs. the dominant motif elements appear to be geometric shapes, including diamond-like forms and smaller intricate designs within these larger shapes. these motifs are arranged in a repeating grid pattern, creating a dense and uniform appearance across the fabric. small dots and short lines are interspersed between the main motifs, adding texture and detail to the overall design.",Trenggalek,tulungagung,tulungagung,0.6032202839851379,False,hard,0.6032202839851379
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 13 Batik Wagastu (Sayap Rona Harapan).jpg,"The batik fabric features the Malang motif, characterized by brick red, chocolate motifs. The dominant motifs include mango tree and sparrows. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the malang motif, characterized by brown, red, blue, and white motifs. the dominant motif elements appear to be abstract shapes resembling leaves or feathers, interspersed with small circles that resemble dots. these motifs are arranged in a repeating pattern across the fabric, creating a dense yet balanced design. the spacing between the motifs varies slightly but remains relatively consistent throughout the piece, ensuring a harmonious overall appearance.",Malang,malang,malang,0.8819351196289062,True,hard,0.8819351196289062
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Wagastu (Sayap Sulur Kopi).jpg,"The batik fabric features the Malang motif, characterized by chocolate, green motifs. The dominant motifs include coffee plant, sulur and bird wings. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the lamongan motif, characterized by brown, yellow, and white motifs. the dominant motif elements appear to be abstract leaf-like forms interspersed with small dots and lines that act as isen-isens. these motifs are arranged diagonally across the fabric, creating a dynamic pattern with varying densities and orientations.",Malang,lamongan,lamongan,0.47739535570144653,False,hard,0.47739535570144653
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mekar Sari Data 6 Melati Deret.jpg,"The batik fabric features the Lamongan motif, characterized by orange, brown, white motifs. The dominant motifs include jasmine. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the trenggalek motif, characterized by deep red, black, and white motifs. the dominant motif elements appear to be small circular designs interspersed within larger diamond-shaped patterns. these motifs are arranged in a repeating grid-like pattern across the fabric, creating a dense yet structured appearance. the spacing between the motifs is relatively consistent, and they are oriented horizontally and vertically, forming a uniform repeatable design.",Lamongan,trenggalek,trenggalek,0.5122054219245911,False,hard,0.5122054219245911
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 10 Batik Soendari (Candi Badut Trembesi).jpg,"The batik fabric features the Malang motif, characterized by purple, black motifs. The dominant motifs include rain tree, badut temple and sekartaji mask. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the malang motif, characterized by deep blue, white, red, and black motifs. the dominant elements include stylized fern-like leaves, small flowers, and geometric shapes resembling pagodas. these motifs are arranged in a repeating pattern across the fabric, with moderate spacing between each element. the arrangement appears somewhat random but maintains a consistent rhythm throughout the design.",Malang,malang,malang,0.9661415219306946,True,hard,0.9661415219306946
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 2 Batik Wagastu (Kupu-kupu Musim Semi).jpg,"The batik fabric features the Malang motif, characterized by brick red, turquoise motifs. The dominant motifs include monstera deliciosa and butterfly. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the malang motif, characterized by deep red, gold, teal, and black motifs. the dominant motif elements appear to be stylized leaves and possibly small insects or birds. these motifs are arranged in a repeating pattern across the fabric, creating a dense yet balanced design. the spacing between the motifs varies slightly but remains relatively consistent throughout the piece, ensuring a harmonious overall appearance.",Malang,malang,malang,0.9797520041465759,True,hard,0.9797520041465759
