image_path,ground_truth_class,predicted_class,confidence,is_correct,predicted_rank_of_gt,reciprocal_rank
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 2 Batik Lana (Pakis Tutul).jpg,Malang,lamongan,0.9131647348403931,0,2,0.5
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 15 Batik Soendari (Sido Candra Kapala).jpg,Malang,sekarjagad,0.5755655169487,0,4,0.25
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 5 Batik Kantil (Mas-mas Mbois).jpg,Malang,malang,0.5238567590713501,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mulifah Data 11 Selempang Bandeng Lele.jpg,Lamongan,trenggalek,0.8474478125572205,0,2,0.5
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 4 Batik Soendari (Ikan Maskoki).jpg,Malang,malang,0.7203158736228943,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Istiqomah Data 6 Merak Nam Katil.jpg,Lamongan,lamongan,0.9811198115348816,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Rahayu (Kleten).jpg,Trenggalek,dayak,0.7210960388183594,0,4,0.25
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 13 Batik Kantil (Buntel).jpg,Malang,lamongan,0.8038786053657532,0,3,0.3333333333333333
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 23 Batik Soendari (Padma Latar Ceceg).jpg,Malang,lamongan,0.6874781250953674,0,2,0.5
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mulifah Data 7 Pring Sedapur (Serumpun).jpg,Lamongan,lamongan,0.9935452938079834,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Istiqomah Data 3 Pisang Setandon.jpg,Lamongan,lamongan,0.6677578091621399,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 26 Batik Rahayu (Sido Mukti Rahayu).jpg,Trenggalek,tulungagung,0.9550679326057434,0,2,0.5
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 13 Batik Wagastu (Sayap Rona Harapan).jpg,Malang,malang,0.8855646848678589,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 17 Batik Rahayu (Gringsing Satrio Manah).jpg,Trenggalek,trenggalek,0.7726895213127136,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mutiara S Data 8 Singo Mengkok Kembang Brokoli.jpg,Lamongan,lamongan,0.9248672723770142,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 20 Batik Kantil (Bangau).jpg,Malang,lamongan,0.962263822555542,0,2,0.5
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 19 Batik Tiepuk (Parang Kawung Cengkeh).jpg,Trenggalek,tulungagung,0.8914811611175537,0,2,0.5
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Wagastu (Sayap Sulur Kopi).jpg,Malang,lamongan,0.8435512185096741,0,2,0.5
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 15 Batik Rahayu (Koi Keberuntungan).jpg,Trenggalek,malang,0.8148910999298096,0,2,0.5
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mekar Sari Data 6 Melati Deret.jpg,Lamongan,tulungagung,0.7063857913017273,0,6,0.16666666666666666
