image_path,reference,prediction,ground_truth_class,predicted_class,dinov2_class,dinov2_confidence,motif_mentioned,used_prompt_mode,classification_confidence
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 2 Batik Lana (Pakis Tutul).jpg,"The batik fabric features the Malang motif, characterized by dark green motifs. The dominant motifs include fern plants. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features starfish motifs, characterized by white, yellow, and black motifs. The dominant motif elements appear as stylized starfish designs scattered across the fabric. These starfish are arranged in a non-geometric pattern, with varying densities and orientations that create an organic feel. Small dots and short lines, likely isen-isens, are interspersed between the larger starfish motifs, adding texture and detail to the overall design.",Malang,UNKNOWN,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 15 Batik Soendari (Sido Candra Kapala).jpg,"The batik fabric features the Malang motif, characterized by chocolate, blue motifs. The dominant motifs include lotus and candra kapala. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features floral motifs, characterized by blue, brown, red, and white motifs. The dominant motif elements include stylized flowers and abstract shapes resembling petals and leaves. These motifs are arranged in a repeating grid pattern, spaced evenly apart and oriented randomly across the fabric. Small dots and short lines act as isen-isens, filling gaps between larger motifs.",Malang,UNKNOWN,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 5 Batik Kantil (Mas-mas Mbois).jpg,"The batik fabric features the Malang motif, characterized by brown, orange motifs. The dominant motifs include people dressed in javanese traditional clothes and cempaka putih. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features figurative motifs, characterized by blue, orange, pink, and green motifs. The dominant motif elements appear to be stylized human figures and leaves. These motifs are arranged in a repeating grid pattern across the fabric, with consistent spacing between each figure and leaf. The arrangement is symmetrical along both horizontal and vertical axes, creating a balanced and orderly design.",Malang,UNKNOWN,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mulifah Data 11 Selempang Bandeng Lele.jpg,"The batik fabric features the Lamongan motif, characterized by red, black, white motifs. The dominant motifs include milkfish and catfish. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features floral motifs, characterized by black, maroon, and cream motifs. The dominant motif elements appear as small flowers and leaves, interspersed with abstract shapes that resemble stylized vines or tendrils. These motifs are arranged diagonally across the fabric, creating a flowing pattern that emphasizes movement. The spacing between the motifs varies slightly but remains relatively consistent, allowing for a balanced distribution throughout the design. Small dots and short lines, known as isen-isens, are also visible, adding texture and detail to the overall pattern.",Lamongan,UNKNOWN,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 4 Batik Soendari (Ikan Maskoki).jpg,"The batik fabric features the Malang motif, characterized by dark blue, cream, pink motifs. The dominant motifs include goldfish. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features fish motifs, characterized by pink, gold, and white motifs. The dominant motif elements are fish with flowing tails and scales. These motifs are arranged in a repeating grid pattern across the fabric, spaced evenly apart and oriented randomly but consistently throughout the design. Small dots and short lines act as isen-isens, adding texture and detail between the larger fish motifs.",Malang,UNKNOWN,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Istiqomah Data 6 Merak Nam Katil.jpg,"The batik fabric features the Lamongan motif, characterized by purple motifs. The dominant motifs include peacock and nam. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features floral motifs, characterized by purple, red, black, and orange motifs. The dominant motif elements include flowers and birds. These motifs are arranged in a repeating grid pattern across the fabric, with moderate spacing and varying densities. Isen-isen, small dots, are also visible as fillers between larger motifs.",Lamongan,UNKNOWN,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Rahayu (Kleten).jpg,"The batik fabric features the Trenggalek motif, characterized by sogan chocolate, black motifs. The dominant motifs include jasmine flower flora. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features swirling motifs, characterized by black, orange, and red motifs. The dominant motif elements appear as intricate, flowing swirls interspersed with small star-like figures. These motifs are arranged in a repeating pattern across the fabric, creating a dense yet balanced design. The spacing between the motifs varies slightly but remains relatively consistent throughout the piece, ensuring an even distribution.",Trenggalek,UNKNOWN,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 13 Batik Kantil (Buntel).jpg,"The batik fabric features the Malang motif, characterized by brown, green motifs. The dominant motifs include jasmine flower, bunga kantil. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features swirling dragon motifs, characterized by shades of brown, green, and gold motifs. The dominant motif elements include stylized dragons and foliage. These motifs are arranged in a repeating pattern across the fabric, with moderate spacing and varying densities that create a dynamic visual flow. Small dots and short lines are interspersed between the larger motifs, adding texture and detail to the design.",Malang,UNKNOWN,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 23 Batik Soendari (Padma Latar Ceceg).jpg,"The batik fabric features the Malang motif, characterized by blue, cream motifs. The dominant motifs include lotus and butterfly. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features floral motifs, characterized by pink, blue, and beige motifs. The dominant motif elements include lotus flowers, birds, butterflies, and leaves. These motifs are arranged in a non-geometric pattern, spaced moderately apart but densely packed, creating an intricate and lively design. Small dots and short lines act as isen-isens, adding texture and detail throughout the fabric.",Malang,UNKNOWN,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mulifah Data 7 Pring Sedapur (Serumpun).jpg,"The batik fabric features the Lamongan motif, characterized by black, brown motifs. The dominant motifs include bamboo. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features floral motifs, characterized by white and brown motifs. The dominant motif elements include fern plants and small flowers. These motifs are arranged in a non-geometric pattern, spaced moderately apart but densely packed within certain areas, creating a sense of organic flow. Small dots and short lines are interspersed throughout the fabric as isen-isens, adding texture and detail to the overall design.",Lamongan,UNKNOWN,,,False,no_class,
