image_path,reference,prediction,motif_mentioned,used_prompt_mode,ground_truth_class,predicted_class,classification_confidence
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 2 Batik Lana (Pakis Tutul).jpg,"The batik fabric features the Malang motif, characterized by dark green motifs. The dominant motifs include fern plants. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features the malang motif, characterized by black motifs. The dominant motif elements appear to be abstract shapes resembling leaves or starfish. These motifs are arranged in a repeating pattern across the fabric, spaced evenly apart and oriented randomly but consistently throughout the design. Small white dots are interspersed between the larger motifs, adding texture and detail to the overall pattern.",True,hard,Malang,malang,0.8088918924331665
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 15 Batik Soendari (Sido Candra Kapala).jpg,"The batik fabric features the Malang motif, characterized by chocolate, blue motifs. The dominant motifs include lotus and candra kapala. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features the sekarjagad motif, characterized by blue, brown, red, and white motifs. The dominant motif elements appear to be abstract floral patterns and geometric shapes. These motifs are arranged in a repeating grid pattern, with moderate spacing between each element. The small dots and short lines that act as fillers are also clearly visible throughout the design.",False,hard,Malang,sekarjagad,0.5962108373641968
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 5 Batik Kantil (Mas-mas Mbois).jpg,"The batik fabric features the Malang motif, characterized by brown, orange motifs. The dominant motifs include people dressed in javanese traditional clothes and cempaka putih. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features the malang motif, characterized by orange, blue, and pink motifs. The dominant motif elements appear to be stylized figures resembling people wearing traditional attire. These figures are arranged in a repeating grid pattern across the fabric, spaced evenly apart and oriented horizontally. There are also small orange leaf-like shapes interspersed between the figures, adding a decorative element to the design.",True,hard,Malang,malang,0.7394968271255493
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mulifah Data 11 Selempang Bandeng Lele.jpg,"The batik fabric features the Lamongan motif, characterized by red, black, white motifs. The dominant motifs include milkfish and catfish. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features the trenggalek motif, characterized by black, red, and white motifs. The dominant motif elements appear to be abstract shapes resembling leaves or flowers, interspersed with small dots and lines that act as fillers. These motifs are arranged diagonally across the fabric, creating a dynamic pattern with varying densities and orientations. The spacing between the motifs varies, adding depth and complexity to the overall design.",False,hard,Lamongan,trenggalek,0.7729614973068237
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 4 Batik Soendari (Ikan Maskoki).jpg,"The batik fabric features the Malang motif, characterized by dark blue, cream, pink motifs. The dominant motifs include goldfish. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features the malang motif, characterized by pink, gold, and white motifs. The dominant motif elements are stylized fish and abstract shapes resembling coral or seaweed. These motifs are arranged in a repeating grid pattern across the fabric, spaced evenly apart and oriented randomly but consistently throughout the design. Small dots and lines act as isen-isens, adding texture and detail between the larger motifs.",True,hard,Malang,malang,0.9514274001121521
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Istiqomah Data 6 Merak Nam Katil.jpg,"The batik fabric features the Lamongan motif, characterized by purple motifs. The dominant motifs include peacock and nam. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features the Lamongan motif, characterized by purple, red, black, and beige motifs. The dominant elements include stylized flowers and birds, interspersed with small dots and lines that act as isen-isens. These motifs are arranged in a repeating pattern across the fabric, with dense clusters of flowers and birds near the center, gradually becoming sparser towards the edges. The arrangement appears symmetrical along both horizontal and vertical axes, creating a balanced and harmonious design.",True,hard,Lamongan,lamongan,0.9582538604736328
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Rahayu (Kleten).jpg,"The batik fabric features the Trenggalek motif, characterized by sogan chocolate, black motifs. The dominant motifs include jasmine flower flora. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features the trenggalek motif, characterized by black, orange, and red motifs. The dominant motif elements appear to be swirling patterns resembling vines or tendrils. These motifs are arranged in a repeating grid pattern across the fabric, with moderate spacing between each element. There are no isen-isens or additional filler designs visible within this section of the batik.",True,hard,Trenggalek,trenggalek,0.7371113896369934
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 13 Batik Kantil (Buntel).jpg,"The batik fabric features the Malang motif, characterized by brown, green motifs. The dominant motifs include jasmine flower, bunga kantil. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features the malang motif, characterized by orange, teal, and gold motifs. The dominant motif elements appear to be abstract forms resembling leaves and possibly stylized animals. These motifs are arranged in a repeating pattern across the fabric, with moderate spacing and varying densities. Some areas show a higher concentration of motifs, while others have more open spaces between them. The orientation of the motifs varies slightly but generally follows a horizontal flow.",True,hard,Malang,malang,0.6104966998100281
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 23 Batik Soendari (Padma Latar Ceceg).jpg,"The batik fabric features the Malang motif, characterized by blue, cream motifs. The dominant motifs include lotus and butterfly. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features the malang motif, characterized by pink, blue, and beige motifs. The dominant motif elements include birds, butterflies, and lotus flowers. These motifs are arranged in a repeating grid pattern across the fabric, with some elements appearing more densely clustered than others. Small dots and short lines are interspersed between the larger motifs, adding texture and detail to the design.",True,hard,Malang,malang,0.9428062438964844
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mulifah Data 7 Pring Sedapur (Serumpun).jpg,"The batik fabric features the Lamongan motif, characterized by black, brown motifs. The dominant motifs include bamboo. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features the Lamongan motif, characterized by black motifs. The dominant motif elements include stylized fern plants and small flowers. These motifs are arranged in a non-geometric pattern, spaced moderately apart, and oriented randomly across the fabric. Small white dots, likely isen-isen, are scattered throughout the background, adding texture to the design.",True,hard,Lamongan,lamongan,0.9541308879852295
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Istiqomah Data 3 Pisang Setandon.jpg,"The batik fabric features the Lamongan motif, characterized by turquoise, black, white motifs. The dominant motifs include banana. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features the Lamongan motif, characterized by light teal motifs. The dominant motif elements appear to be stylized flowers and leaves, rendered in white against the teal background. These motifs are arranged in a repeating pattern across the fabric, spaced evenly apart and oriented randomly but consistently throughout the design. Small white dots, likely isen-isen, are interspersed between the larger motifs, adding texture and detail to the overall pattern.",True,hard,Lamongan,lamongan,0.42715272307395935
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 26 Batik Rahayu (Sido Mukti Rahayu).jpg,"The batik fabric features the Trenggalek motif, characterized by chocolate sogan motifs. The dominant motifs include orchid flowers, cloves and sido mukti motif. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features the trenggalek motif, characterized by red, black, and white motifs. The dominant motif elements appear to be geometric shapes, including diamond-like forms and smaller intricate designs. These motifs are arranged in a repeating grid pattern across the fabric, with consistent spacing and density. Small dots and short lines are interspersed between the larger motifs, adding texture and detail to the overall design.",True,hard,Trenggalek,trenggalek,0.9570402503013611
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 13 Batik Wagastu (Sayap Rona Harapan).jpg,"The batik fabric features the Malang motif, characterized by brick red, chocolate motifs. The dominant motifs include mango tree and sparrows. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features the malang motif, characterized by red, blue, and white motifs. The dominant motif elements appear to be abstract shapes resembling leaves or feathers, interspersed with small dots and short lines that act as isen-isens. These motifs are arranged in a repeating pattern across the fabric, creating a dense yet organized layout. The spacing between the motifs varies slightly but remains relatively consistent throughout the design, ensuring a balanced and harmonious appearance.",True,hard,Malang,malang,0.8463723659515381
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 17 Batik Rahayu (Gringsing Satrio Manah).jpg,"The batik fabric features the Trenggalek motif, characterized by green motifs. The dominant motifs include satrio manah. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features the trenggalek motif, characterized by black motifs against a reddish-brown background. The dominant motif elements appear to be geometric shapes and possibly some abstract forms resembling leaves or flowers. The motifs are arranged in a repeating grid pattern, with consistent spacing and density throughout the fabric. There are no isen-isens or additional decorative elements visible within this section of the batik.",True,hard,Trenggalek,trenggalek,0.6381943225860596
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mutiara S Data 8 Singo Mengkok Kembang Brokoli.jpg,"The batik fabric features the Lamongan motif, characterized by dark blue, light blue, black motifs. The dominant motifs include singo mengkok and cauliflower. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features the Lamongan motif, characterized by blue, black, and white motifs. The dominant motif elements appear to be stylized flowers and leaves, intertwined with abstract shapes resembling dragons or serpents. These motifs are arranged in a repeating pattern across the fabric, creating a dense yet balanced design. Small dots and short lines are interspersed between the larger motifs, adding texture and detail to the overall composition.",True,hard,Lamongan,lamongan,0.9061524868011475
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 20 Batik Kantil (Bangau).jpg,"The batik fabric features the Malang motif, characterized by dark blue motifs. The dominant motifs include stork and chrysanthemum flower. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features the malang motif, characterized by light blue motifs. The dominant motif elements appear to be abstract floral patterns and geometric shapes. These motifs are arranged in a repeating grid pattern across the fabric, with moderate spacing and varying densities. Isen-isen, small dots and short lines, are also visible throughout the design, adding texture and detail to the overall pattern.",True,hard,Malang,malang,0.7450019121170044
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 19 Batik Tiepuk (Parang Kawung Cengkeh).jpg,"The batik fabric features the Trenggalek motif, characterized by chocolate, black motifs. The dominant motifs include clove plant flora. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features the trenggalek motif, characterized by white motifs against a dark background. The dominant motif elements appear to be geometric shapes, possibly resembling small flowers or star-like figures. These motifs are arranged diagonally across the fabric, creating a striking contrast between the light and dark areas. The spacing between the motifs varies slightly but remains relatively consistent, giving a sense of rhythm to the overall design. Isen-isen, which are small dots or short lines used for filling spaces, can also be seen interspersed among the larger motifs, adding texture to the pattern.",True,hard,Trenggalek,trenggalek,0.9874938130378723
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Wagastu (Sayap Sulur Kopi).jpg,"The batik fabric features the Malang motif, characterized by chocolate, green motifs. The dominant motifs include coffee plant, sulur and bird wings. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features the malang motif, characterized by brown, green, and white motifs. The dominant motif elements appear to be leaf-like shapes and swirling patterns. These motifs are arranged in a repeating grid pattern across the fabric, with moderate spacing between each element. The density of the motifs varies slightly but remains consistent throughout the design. Small dots and short lines are interspersed among the larger motifs, adding texture and detail to the overall pattern.",True,hard,Malang,malang,0.6275090575218201
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 15 Batik Rahayu (Koi Keberuntungan).jpg,"The batik fabric features the Trenggalek motif, characterized by green, blue motifs. The dominant motifs include clove, teratai and koi fish. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","The batik fabric features the trenggalek motif, characterized by blue, green, and white motifs. The dominant motif elements include stylized fish and abstract floral patterns. These motifs are arranged in a repeating grid pattern across the fabric, with moderate spacing between each element. Small dots and short lines are interspersed among the larger motifs, adding texture and detail to the design.",True,hard,Trenggalek,trenggalek,0.8530349731445312
