image_path,reference,prediction,ground_truth_class,predicted_class,dinov2_class,dinov2_confidence,motif_mentioned,used_prompt_mode,classification_confidence
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 2 Batik Lana (Pakis Tutul).jpg,"The batik fabric features the Malang motif, characterized by dark green motifs. The dominant motifs include fern plants. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the malang motif, characterized by black, white, and gold motifs. the dominant motif elements appear to be stylized leaves and possibly small flowers. these motifs are arranged in a repeating pattern across the fabric, creating a dense yet balanced design. the spacing between the motifs is relatively consistent, and they are oriented in various directions, contributing to a dynamic yet harmonious appearance.",Malang,malang,malang,0.8088918924331665,True,hard,0.8088918924331665
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 15 Batik Soendari (Sido Candra Kapala).jpg,"The batik fabric features the Malang motif, characterized by chocolate, blue motifs. The dominant motifs include lotus and candra kapala. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the sekarjagad motif, characterized by red, blue, brown, and white motifs. the dominant motif elements appear to be abstract floral designs and geometric shapes. these motifs are arranged in a repeating pattern across the fabric, with some areas showing denser clustering than others. small dots and lines are interspersed between the larger motifs, adding texture and detail to the overall design.",Malang,sekarjagad,sekarjagad,0.5962108373641968,False,hard,0.5962108373641968
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 5 Batik Kantil (Mas-mas Mbois).jpg,"The batik fabric features the Malang motif, characterized by brown, orange motifs. The dominant motifs include people dressed in javanese traditional clothes and cempaka putih. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the malang motif, characterized by brown, orange, blue, and purple motifs. the dominant motif elements appear to be stylized figures resembling people wearing traditional attire. these figures are interspersed among smaller leaf-like shapes scattered throughout the design. the motifs are arranged in a repeating pattern that creates a sense of rhythm along vertical columns, with some figures appearing larger than others due to varying sizes within each column. there are no clear indications of isen-isens or other decorative fillers in this particular section of the batik.",Malang,malang,malang,0.7394968271255493,True,hard,0.7394968271255493
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mulifah Data 11 Selempang Bandeng Lele.jpg,"The batik fabric features the Lamongan motif, characterized by red, black, white motifs. The dominant motifs include milkfish and catfish. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the trenggalek motif, characterized by black, brown, and white motifs. the dominant motif elements appear to be abstract floral patterns interspersed with small dots and lines that act as fillers. these motifs are arranged diagonally across the fabric, creating a dynamic pattern with varying densities and orientations. the spacing between the motifs varies slightly but remains relatively consistent throughout the design.",Lamongan,trenggalek,trenggalek,0.7729614973068237,False,hard,0.7729614973068237
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 4 Batik Soendari (Ikan Maskoki).jpg,"The batik fabric features the Malang motif, characterized by dark blue, cream, pink motifs. The dominant motifs include goldfish. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the malang motif, characterized by black, pink, yellow, and white motifs. the dominant motif elements appear to be stylized fish and possibly some abstract plant forms. these motifs are arranged in a repeating pattern across the fabric, creating a dense yet balanced layout that covers much of the surface area. there are no clear indications of isen-isens or other decorative fillers within this particular section of the batik.",Malang,malang,malang,0.9514274001121521,True,hard,0.9514274001121521
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Istiqomah Data 6 Merak Nam Katil.jpg,"The batik fabric features the Lamongan motif, characterized by purple motifs. The dominant motifs include peacock and nam. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the lamongan motif, characterized by purple, red, black, and white motifs. the dominant motif elements include stylized flowers and leaves, along with small birds. these motifs are arranged in a repeating pattern across the fabric, creating a dense and intricate design that covers much of the surface area. the spacing between the motifs varies slightly but remains relatively consistent throughout the piece, ensuring a balanced and harmonious appearance.",Lamongan,lamongan,lamongan,0.9582538604736328,True,hard,0.9582538604736328
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Rahayu (Kleten).jpg,"The batik fabric features the Trenggalek motif, characterized by sogan chocolate, black motifs. The dominant motifs include jasmine flower flora. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the trenggalek motif, characterized by black, gold, red, and white motifs. the dominant motif elements appear to be stylized leaves and flowers connected by swirling vines. these motifs are arranged in a repeating pattern across the fabric, creating a dense yet balanced design. small dots and short lines are interspersed among the larger motifs, adding texture and detail to the overall composition.",Trenggalek,trenggalek,trenggalek,0.7371113896369934,True,hard,0.7371113896369934
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 13 Batik Kantil (Buntel).jpg,"The batik fabric features the Malang motif, characterized by brown, green motifs. The dominant motifs include jasmine flower, bunga kantil. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the malang motif, characterized by gold, brown, and teal motifs. the dominant motif elements appear to be abstract forms resembling leaves and possibly stylized animals. these motifs are arranged in a non-geometric pattern, with varying densities and orientations that create a dynamic and intricate design. small dots and short lines are interspersed throughout, adding texture and detail to the overall composition.",Malang,malang,malang,0.6104966998100281,True,hard,0.6104966998100281
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 23 Batik Soendari (Padma Latar Ceceg).jpg,"The batik fabric features the Malang motif, characterized by blue, cream motifs. The dominant motifs include lotus and butterfly. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the malang motif, characterized by deep purple, light pink, and white motifs. the dominant motif elements include stylized birds, lotus flowers, and leafy branches. these motifs are arranged in a non-geometric pattern, scattered across the fabric with varying densities and orientations. small dots and short lines act as isen-isens, adding texture and detail to the design.",Malang,malang,malang,0.9428062438964844,True,hard,0.9428062438964844
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mulifah Data 7 Pring Sedapur (Serumpun).jpg,"The batik fabric features the Lamongan motif, characterized by black, brown motifs. The dominant motifs include bamboo. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the lamongan motif, characterized by black, white, and brown motifs. the dominant motif elements include stylized fern plants and small flowers. these motifs are arranged in a non-geometric pattern, spaced evenly throughout the fabric, creating a harmonious and balanced composition. small dots and short lines are interspersed among the larger motifs, adding texture and detail to the design.",Lamongan,lamongan,lamongan,0.9541308879852295,True,hard,0.9541308879852295
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Istiqomah Data 3 Pisang Setandon.jpg,"The batik fabric features the Lamongan motif, characterized by turquoise, black, white motifs. The dominant motifs include banana. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the lamongan motif, characterized by light blue, brown, and white motifs. the dominant motif elements appear to be stylized flowers and leaves, interspersed with small dots that act as isen-isens. these motifs are arranged in a repeating pattern across the fabric, creating a dense yet balanced design. the flowers and leaves are oriented in various directions but maintain a consistent spacing throughout the piece.",Lamongan,lamongan,lamongan,0.42715272307395935,True,hard,0.42715272307395935
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 26 Batik Rahayu (Sido Mukti Rahayu).jpg,"The batik fabric features the Trenggalek motif, characterized by chocolate sogan motifs. The dominant motifs include orchid flowers, cloves and sido mukti motif. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the trenggalek motif, characterized by orange, black, and white motifs. the dominant motif elements appear to be geometric shapes, including diamond-like forms and smaller circular designs. these motifs are arranged in a repeating grid pattern across the fabric, creating a dense and intricate design. small dots and short lines are interspersed between the larger motifs, adding texture and detail to the overall composition.",Trenggalek,trenggalek,trenggalek,0.9570402503013611,True,hard,0.9570402503013611
