CODE,CLASS,NAME,THEME,COLOR,TECHNIQUE,FABRIC,DYE,SHAPE,HISTORY
Data 1 Batik Baronggung (Gayatri Putri),Tulungagung,Gayatri Putri,CULTURE (Candi Gayatri) // FLORA (Tanaman hayat),"Hijau muda, hijau tua",Cap dan Tulis,Primisima,Sintetis,Geometris,"Terinspirasi dari keagungan sejarah dengan motif tanaman hayat, melambangkan kehidupan dan kebijaksanaan. Ornamen candi yang megah berpadu dengan sulur-sulur tumbuhan, mencerminkan spiritualitas, keluhuran, serta keharmonisan alam dan budaya Tulungagung"
Data 2 Batik Baronggung (Jahewono),Tulungagung,Jahewono,FLORA (Tanaman Jahe),"Merah, hitam",Handprinting,Primisima,Sintetis,Non-geometris,"Terinspirasi dari kesegaran pemandian alami yang dikelilingi tanaman jahe. Motif daun jahe melambangkan kesucian, kesehatan, dan ketentraman"
Data 3 Batik Baronggung (Ombak Segoro),Tulungagung,Ombak Segoro,NATURE (Laut),"Merah, hitam",Handprinting,Primisima,Sintetis,Non-geometris,"Menggambarkan keindahan deretan pantai dengan motif ombak yang dinamis. Pola bergelombang mencerminkan kekuatan dan ketenangan laut, kehidupan pesisir yang penuh kearifan."
Data 4 Batik Baronggung (Terumbu Karang),Tulungagung,Terumbu Karang,FAUNA (Terumbu karang),"Biru, hitam",Handprinting,Primisima,Sintetis,Non-geometris,Keindahan pantai dengan motif terumbu karang yang cantik dan beragam. Pola unik melambangkan kekayaan bahari dan keseimbangan ekosistem.
Data 5 Batik Baronggung (Bunga Nirwana 1),Tulungagung,Bunga Nirwana 1,FLORA ( Bunga anggrek),"Hijau, merah",Handprinting,Primisima,Sintetis,Non-geometris,"Keindahan bunga bermekaran yang terinspirasi dari perjalanan seorang pembatik ke taman penuh warna. Motif bunga yang anggun melambangkan kebahagiaan, keceriaan, dan harapan, menciptakan harmoni antara alam"
Data 6 Batik Baronggung (Bunga Nirwana 2),Tulungagung,Bunga Nirwana 2,FLORA ( Bunga anggrek),"Biru, Merah",Handprinting,Primisima,Sintetis,Non-geometris,"Keindahan bunga bermekaran yang terinspirasi dari perjalanan seorang pembatik ke taman penuh warna. Motif bunga yang anggun melambangkan kebahagiaan, keceriaan, dan harapan, menciptakan harmoni antara alam"
Data 7 Batik Baronggung (Tiga Negeri),Tulungagung,Tiga Negeri,"FLORA (Tanaman padi, jahe) // CULTURE(Motif sidomukti)","Canary, hijau emerald",Cap,Primisima,Sintetis,Geometris,"Memadukan keunikan cap dengan motif Sidomukti yang melambangkan kemakmuran, Jahewono sebagai simbol kesuburan, dan Pari Sakuri yang mencerminkan kesejahteraan. Perpaduan harmonis ini menciptakan keindahan batik yang sarat makna budaya dan kearifan lokal."
Data 8 Batik Baronggung (Anggrek Argo Wilis),Tulungagung,Anggrek Argo Wilis,FLORA ( Bunga anggrek),"Hijau tua, hijau muda",Cap,Primisima,Sintetis,Geometris,"menggambarkan kejayaan masa lalu saat pantai di era Belanda dan Argo Wilis menjadi pusat berkembangnya anggrek. Motif anggrek yang elegan melambangkan keindahan, ketahanan, dan warisan alam yang terus lestari."
Data 9 Batik Baronggung (Cumi-Cumi),Tulungagung,Cumi-cumi,FAUNA (Cumi-cumi),"Coklat, kuning",Cap,Primisima,Sintetis,Non-geometris,Terinspirasi dari kekayaan laut Kota Tulungagung . Dengan menampilan cumi-cumi sebagai motif utama didalamnya.
Data 10 Batik Baronggung (Sisik Ikan),Tulungagung,Sisik Ikan,FAUNA (Ikan mas koki) // CULTURE(Motif parang),"Brich red, coklat muda",Cap dan Tulis,Primisima,Sintetis,Geometris,"Tulungagung sebagai penghasil ikan mas kok tertinggi di Jawa Timur. Melambangkan kesuburan, kemakmuran dan keberuntungan"
Data 11 Batik Baronggung (Rumput Laut),Tulungagung,Rumput Laut,NATURE (Laut) // FLORA (Rumput laut),"Brick Red, coklat",Cap dan Tulis,Primisima,Sintetis,Non-geometris,Menghadirkan keindahan laut dengan motif ombak dan rumput laut yang melambangkan kesejahteraan dan keberlanjutan. Pola organik menggambarkan kearifan masyarakat pesisir dalam menjaga ekosistem bahari.
Data 1 Batik Tiepuk Trenggalek (Turonggo Yakso),Trenggalek,Turonggoyakso,"Kebudayaan (Tari Turonggoyakso) // Flora (Tanaman cengkeh, melati, mawar)","Hitam, coklat",Tulis,Katun,Alam,Non-geometris,"Batik Turonggoyakso Trenggalek menggambarkan keanggunan dan kegagahan tari Turonggoyakso, dengan motif tari turonggoyakso dan gerakan dinamis. Perpaduan warna kontras mencerminkan semangat, keberanian, serta warisan budaya yang kaya dari Trenggalek"
Data 2 Batik Tiepuk Trenggalek (Manggis Pecah),Trenggalek,Manggis Pecah,"Flora ( Buah manggis, truntum, cengkeh) // Kebudayaan (motif kawung)","Purple,Eggplant",Tulis,Katun,Sintetis,Non-geometris,"Menampilkan motif buah manggis, bunga dan daunnya yang rimbun, mencerminkan kesuburan dan kekayaan alam. Warna Purple melambangkan musim panen yang melimpah dan kearifan lokal masyarakat Trenggalek."
Data 3 Batik Tiepuk Malang (Gemah Ripah Jahe Cengkeh),Trenggalek,Gemah Ripah Jahe Cengkeh,"Flora (Tanaman jahe, cengkeh)","Orange, hitam",Cap,Katun,Sintetis,Non-geometris,"Menghadirkan keindahan alam dengan motif akar jahe yang kuat dan bunga cengkeh yang elegan. Perpaduan ini melambangkan ketahanan, kesejahteraan, serta kearifan lokal yang diwariskan dalam budaya batik Trenggalek."
Data 4 Batik Tiepuk (Akar Cengkeh Turonggo Yakso),Trenggalek,Akar Cengkeh Turonggoyokso,Flora (Tanaman cengkeh) // Kebudayaan (Tari turonggoyokso),"Kuning, hijau",Cap,Katun,Sintetis,Non-geometris,"Terinspirasi dari akar tanaman yang kokoh, melambangkan kekuatan dan kelestarian kebudayaan Trenggalek. Motif yang saling terjalin mencerminkan keterikatan nilai-nilai leluhur, mengajarkan bahwa budaya yang kuat berakar pada tradisi yang dijaga dan diwariskan."
Data 5 Batik Tiepuk (Kipas Cengkeh),Trenggalek,Kipas Cengkeh,Kebudayaan (motif kipas) // Flora (Cengkeh),"Moss green, hitam",Tulis,Katun,Alam,Non-geometris,"Menampilkan motif kipas yang anggun, melambangkan kesejukan dan ketenangan. Pola yang mengalun lembut mencerminkan harmoni serta keindahan dalam kehidupan"
Data 6 Batik Tiepuk (Nyi Loro Klandon),Trenggalek,Nyi Loro Klandon,"Fauna (Gajah) // Kebudayaan (Motif manusia) // Flora (Melon, tembakau, truntum)","Hitam / Black, coklat terang / bright brown",Tulis,Katun,Sintetis,Non-geometris,"Batik Nyi Loro Klandon menggambarkan kisah pengkhianatan terhadap Minak Sopal melalui motif bunga yang yang anggun, sebagai simbol tipu daya, serta siluet sosok misterius. Pola dinamis mencerminkan ketegangan legenda, sementara warna kontras melambangkan ambisi, pengkhianatan, dan konsekuensi dari tindakan yang tidak setia."
Data 7 Batik Tiepuk (Sulur Anggrek Cengkeh),Trenggalek,Sulur Anggrek Cengkeh,"Flora (Tanaman sulur, cengkeh, anggrek)","kuning emas, hitam",Tulis,Katun,Sintetis,Non-geometris,"Batik Anggrek menghadirkan motif anggrek yang elegan, melambangkan keteguhan dan kepercayaan diri. Pola kelopak yang mekar mencerminkan harapan dan ketulusan, sementara perpaduan warna lembut dan tegas menggambarkan keseimbangan antara keindahan"
Data 8 Batik Tiepuk (Kapur Sirih),Trenggalek,Kapur Sirih,Flora (Tanaman sirih kapur) // Kebudayaan (Tugu kebudayaan),"Merah tua, Kuning",Tulis,Katun,Sintetis,Non-geometris,"Mengusung kecantikan daun sirih sebagai latar belakang pembuatan motif, simbol keharmonisan dan kasih sayang"
Data 9 Batik Tiepuk (Semen Romo),Trenggalek,Semen Romo,Flora (Tanaman cengkeh) ,"Coklat susu, Merah jingga",Tulis,Katun,Alam,geometris,"Batik Sayap Klasik menghadirkan motif sayap yang elegan, melambangkan kebebasan, harapan, dan kejayaan. Pola simetris menciptakan kesan anggun dan megah, sementara sentuhan klasik mencerminkan warisan budaya yang abadi"
Data 10 Batik Tiepuk (Njunjung Derajat Gemah Ripah),Trenggalek,Njunjung Derajat Gemah Ripah,"Flora (Tanaman Empon-empon, cengkeh)","Merah, kuning",Tulis,Katun,Sintetis,Non-geometris,"Terisnpirasi dari jamu tradisional yang menggambarkan warisan budaya jamu melalui motif tanaman herbal seperti jahe, kunyit, dan daun sirih. Pola alami melambangkan kesehatan dan kearifan lokal"
Data 11 Batik Tiepuk (Turonggo Yakso Abstrak),Trenggalek,Turonggoyakso Abstrak,Flora (Tanaman cengkeh) // Makanan (...) // Kebudayaan (Tari turonggoyakso),"Hitam, coklat susu, biru",Tulis,Katun,Alam,Non-geometris,"Turonggoyakso Trenggalek menghadirkan keanggunan seni tari tradisional melalui motif. Mencerminkan kelembutan serta kekompakan, sementara perpaduan warna mencerminkan semangat dan keceriaan, menggambarkan keindahan budaya yang terus lestari"
Data 12 Batik Tiepuk (Ayam Bekisar),Trenggalek,Ayam Bekisar Sulur Cengkeh,"Fauna (Ayam bekisar) // Flora (Tanaman cengkeh, sulur)","Merah gelap/Deep red, Krem/cream, Golden yellow",Tulis,Katun,Alam,Non-geometris,"Terinspirasi dari ayam bekisar yang menggambarkan kekuatan dan kegigihan melalui motif ayam yang gagah sebagai simbol keberanian, serta sulur yang menjalar melambangkan semangat pantang menyerah. Perpaduan pola dinamis mencerminkan ketekunan dalam menghadapi tantangan"
Data 13 Batik Tiepuk (Larung Sembonyo),Trenggalek,Larung Sembonyo,Kebudayaan (Larungsaji) // Flora (Bunga...),"Biru tua, tosca",Tulis,Katun,Sintetis,Non-geometris,"Batik Sedekah Bumi Prigi menggambarkan ritual syukur masyarakat pesisir melalui motif ombak, perahu, dan hasil laut. Pola harmonis melambangkan kebersamaan dan doa untuk kesejahteraan, sementara warna warna biru hitam mencerminkan keseimbangan antara manusia, alam, dan tradisi yang lestari."
Data 14 Batik Tiepuk (Mutiara Cengkeh),Trenggalek,Mutiara Cengkeh,Flora (Tanaman cengkeh) // Fauna (Mutiara),"Oren, hitam",Cap,Katun,Sintetis,Non-geometris,"Batik Mutiara Cengkeh Trenggalek menghadirkan motif bunga dan biji cengkeh yang melambangkan nilai tinggi dalam kehidupan. Pola elegan mencerminkan kemakmuran dan kejayaan, sementara perpaduan warna hangat menggambarkan kekayaan alam serta warisan budaya yang bernilai"
Data 15 Batik Tiepuk (Kripik Tempe),Trenggalek,Kripik Tempe,Makanan (Kripik tempe) // Flora (Tanaman truntum) // Kebudayaan (Motif parang),"Hijau, kuning",Cap,Katun,Sintetis,Non-geometris,"Batik Kripik Tempe Trenggalek menghadirkan motif butiran kedelai dan pola renyah yang terinspirasi dari makanan khas daerah. Desain unik ini melambangkan kreativitas, ketekunan, dan kearifan lokal kota Trenggalek"
Data 16 Batik Tiepuk (Sidoluhur Bledhak),Trenggalek,Sidoluhur Bledhak,Kebudayaan (Sayap garuda),"Coklat, oren kecoklatan",Tulis,Katun,Alam,Geometris,"Motif sidoluhur bledhak terinspirasi dari nilai spiritual melambangkan perjalanan menuju kehidupan penuh kesucian. Pola harmonis mencerminkan ketulusan dan kebijaksanaan, sementara warna lembut menggambarkan harapan untuk keseimbangan, kedamaian, dan makna hidup yang luhur."
Data 17 Batik Tiepuk (Sisik Ikan Prigi),Trenggalek,Sisik Ikan Prigi,Flora (Bunga teratai) // Fauna (Ikan prigi),"Hitam, oren",Cap,Katun,Alam,Non-geometris,"Menghadirkan motif sisik ikan yang tersusun rapi, melambangkan ketahanan dan keberlimpahan laut Trenggalek. Pola berulang mencerminkan keseimbangan alam dan kerja keras nelayan, sementara perpaduan warna menggambarkan kejernihan air serta kekayaan bahari yang lestari."
Data 18 Batik Tiepuk (Sulur Gringsing),Trenggalek,Sulur Gringsing,"Flora (Bunga mlati, mawar) // Fauna (Kupu-kupu)","Coklat, moss green",Tulis,Katun,Alam,Non-geometris,"Batik Gringsing Trenggalek menghadirkan keindahan motif nusantara dengan pola khas yang melambangkan perlindungan dan kekuatan. Simetri motif menciptakan harmoni, mencerminkan kebijaksanaan budaya serta warisan leluhur yang terus dijaga."
Data 19 Batik Tiepuk (Parang Kawung Cengkeh),Trenggalek,Parang Kawung Cengkeh,Flora (Tanaman cengkeh),"Coklat, hitam",Tulis,Katun,Sogan,Non-geometris,"Memadukan motif kawung yang melambangkan keseimbangan dengan bunga cengkeh sebagai simbol ketulusan. Pola terjalin mencerminkan eratnya ikatan persahabatan, sementara warna hangat menggambarkan keharmonisan, kebersamaan, dan nilai luhur dalam kehidupan sosial masyarakat."
Data 20 Batik Tiepuk (Junjung Derajat Mahkota Cengkeh),Trenggalek,Junjung Derajat Mahkota Cengkeh,Flora (Tanaman cengkeh) // Kebudayaan (Motif kawung),"Merah tua, pink",Tulis lasem,Katun,Sogan,Non-geometris,"Menggambarkan kejayaan dan kesejahteraan melalui motif cengkeh yang melambangkan kekayaan alam. Pola elegan mencerminkan perjuangan mengangkat derajat manusia, sementara warna harmonis merepresentasikan keseimbangan antara kerja keras, keberkahan, dan keluhuran hidup."
Data 21 Batik Tiepuk (Sidoluhur Rawan),Trenggalek,Sidoluhur Rawan,culture (Air) // Flora (Bunga...),"Hitam, moss green",Tulis,Katun,Alam,Geometris,"Harmoni antara daratan, rawa, dan lautan melalui motif gelombang, sulur tanaman, dan kontur tanah. Pola menyatu mencerminkan keseimbangan alam, sementara perpaduan warna alami merepresentasikan keberagaman ekosistem dan kehidupan yang dinamis."
Data 22 Batik Tiepuk (Sepak Segong),Trenggalek,Sepak Segong,Fauna (Burung kalkun) // Flora (Tanaman cengkeh) // Kebudayaan (motif parang),"Coklat muda, hitam",Tulis,Katun,Alam,Geometris,"Menggambarkan perjalanan hidup manusia yang melambangkan usaha dan pertumbuhan. Pola bunga di puncak mencerminkan pencapaian dan kesempurnaan, menciptakan harmoni antara perjuangan, harapan, dan keberhasilan dalam kehidupan."
Data 23 Batik Tiepuk (Sedapur Bambu),Trenggalek,Sedapur Bambu/Pring Sedapur,Flora (Pohon bambu),"Hitam, moss green",Tulis,Katun,Alam,Non-geometris,"Sedapur Bambu menggambarkan kesatuan dan keteraturan melalui motif pohon bambu yang kokoh dan rapi. Pola harmonis mencerminkan keteguhan, keseimbangan, serta semangat kebersamaan dalam kehidupan yang selaras dengan alam dan budaya."
Data 24 Batik Tiepuk (Larung Sembonyo),Trenggalek,Larung Sembonyo,Kebudayaan (Larungsaji) // Flora (Bunga...),"Oren, kuning",Tulis,Katun,Sintetis,Non-geometris,"Batik Sedekah Bumi Prigi menggambarkan ritual syukur masyarakat pesisir melalui motif ombak, perahu, dan hasil laut. Pola dinamis melambangkan doa, kebersamaan, dan harapan akan keberkahan, mencerminkan hubungan harmonis antara manusia, alam, dan tradisi leluhur"
Data 25 Batik Tiepuk (Sekar Jagad Abstrak),Trenggalek,Sekar Jagad Abstrak,Flora (Tanaman cengkeh) // Fauna (Burung....),"Merah, pink",Tulis,Katun,Sintetis,Non-geometris,"Menggambarkan keberagaman melalui motif beragam yang berpadu harmonis. Pola dinamis mencerminkan persatuan dalam perbedaan, melambangkan kekuatan, toleransi, dan keharmonisan dalam kehidupan bermasyarakat yang saling melengkapi"
Data 26 Batik Tiepuk (Sekar Jagad Cengkeh),Trenggalek,Sekar Jagad Cengkeh,Kebudayaan (Sekar jagad),"Coklat, biru",Tulis,Katun,Sogan,Geometris,"Perpaduan berbagai corak batik dalam satu kesatuan harmonis. Pola beragam mencerminkan keberagaman budaya, melambangkan persatuan, toleransi, dan keindahan dalam perbedaan, sesuai dengan semangat Bhineka Tunggal Ika."
Data 27 Batik Tiepuk (Sulur Miji Timun),Trenggalek,Sulur Miji Timun,Flora (Sulur wiji timun),"Coklat, biru",Kerok tulis,Katun,Sogan,Non-geometris,"kecantikan seorang wanita yang pantang menyerah. Pola bunga mekar melambangkan keteguhan hati, sementara garis dinamis mencerminkan perjalanan penuh perjuangan menuju keberhasilan dan kebijaksanaan dalam kehidupan."
Data 28 Batik Tiepuk (Hutan Kota Trenggalek),Trenggalek,Hutan Kota Trenggalek,"Flora (Tanaman...) // Alam (Hutan, gunung) // Manusia ","Coklat, moss green",Tulis,Katun,Alam,Non-geometris,"terinspirasi dari hutan Kota Trenggalek menggambarkan keasrian alam melalui motif pohon rindang, dan dedaunan. Pola alami mencerminkan keseimbangan ekosistem, harapan akan kelestarian lingkungan, serta keharmonisan antara manusia dan alam dalam kehidupan perkotaan."
Data 29 Batik Tiepuk (Den Liris Cengkeh),Trenggalek,Den Liris Cengkeh,"Flora (Tanaman cengkeh, kawung, truntum)","Coklat, moss green",Tulis,Katun,Alam,Non-geometris,"Menggambarkan keindahan hujan yang jatuh lembut di depan studio batik. Motif tetesan air mencerminkan ketenangan, kesegaran, dan inspirasi, menghadirkan harmoni antara alam dan kreativitas."
Data 30 Batik Tiepuk (Tambalan Manggis Pecah),Trenggalek,Tambalan Manggis Pecah,"Flora (Tanaman manggis, cengkeh)","Hitam, moss green",Tulis,Katun,Alam,Non-geometris,"Proses menambal dan memperbaiki dalam kesatuan motif yang dinamis. Pola berpadu harmonis melambangkan kebersamaan, keberlanjutan, dan semangat memperbaiki serta menjaga warisan budaya"
Data 31 Batik Tiepuk (Junjung Derajat Mahkota Cengkeh),Trenggalek,Junjung Derajat Mahkota Cengkeh,Flora (Tanaman cengkeh) // Kebudayaan (Motif kawung),"Merah tua, pink",Tulis lasem,Katun,Sogan,Non-geometris,"Menggambarkan kejayaan dan kesejahteraan melalui motif cengkeh yang melambangkan kekayaan alam. Pola elegan mencerminkan perjuangan mengangkat derajat manusia, sementara warna harmonis merepresentasikan keseimbangan antara kerja keras, keberkahan, dan keluhuran hidup."
Data 1 Batik Rahayu (Kleten),Trenggalek,Kleten,Flora (Bunga Melati),"Coklat Sogan, hitam",Tulis,Primisima,Sintetis,Non-geometris,"Motif elegan yang melambangkan status dan kehormatan seseorang dalam lingkungan. Pola anggun mencerminkan kebijaksanaan, kewibawaan seseorang"
Data 2 Batik Rahayu (Parang Barong),Trenggalek,Parang Barong,CULTURE (Parang),Coklat Sogan,Tulis,Primisima,Sintetis,Geometris,"Motif parang barong yang melambangkan kebijaksanaan, pengendalian diri, dan kehati-hatian. Pola tegas mencerminkan kekuatan, keteguhan, serta keseimbangan dalam menjalani kehidupan dengan penuh kehormatan dan kebajikan"
Data 3 Batik Rahayu (Seret Jedet,Trenggalek,Seret Jedet,FLORA ( Cengkeh/Clove) // Kebudayaan (motif parang/Parang Pattern),"Merah/Red, Orens/Orange",Tulis,Primisima,Sintetis,Geometris,"Motif yang mencerminkan keseimbangan dan keselarasan dalam kehidupan. Pola yang teratur melambangkan kedamaian, kebijaksanaan, dan hubungan harmonis antara manusia, alam, serta nilai-nilai luhur yang dijunjung tinggi."
Data 4 Batik Rahayu (Kupu-kupu Cengkeh),Trenggalek,Kupu-kupu Cengkeh,FLORA (Cengkeh/Clove) // FAUNA (Kupu-kupu/Butterfly),"Coklat, dan Coklat Muda",Tulis,Primisima,Alam,Geometris,"Motif kupu-kupu yang anggun, melambangkan kebebasan, transformasi, dan keindahan hidup. Pola yang ringan dan dinamis mencerminkan perjalanan menuju kemandirian, harapan"
Data 5 Batik Rahayu (Parang Curigo),Trenggalek,Parang Curigo,FLORA (Cengkeh/Clove) // KEBUDAYAAN (Motif Parang/Parang Pattern),"Coklat Sogan, Hitam/Black",Tulis,Primisima,Sintetis,Non-geometris,"Terinspirasi dari Pangeran yang bertapa di Pantai Parangtritis. Pola gagah melambangkan keteguhan, kebijaksanaan, serta perjalanan spiritual menuju pencerahan dan kekuatan batin."
Data 6 Batik Rahayu (Pelabuhan Prigi),Trenggalek,Pelabuhan Prigi,FAUNA (Ikan/Fish) // NATURE (Laut) // Kebudayaan (Kapal pinisi),"Merah/Red, Hitam/Black",Tulis,Primisima,Sintetis,Non-geometris,Terinspirasi dari letak geografi kota Trenggalek sebagai kota yang memiliki sektor perikanan yang besar
Data 7 Batik Rahayu (Wahyu Tumurun Klasik),Trenggalek,Wahyu Tumurun Klasik,FLORA (Bunga) // FAUNA (Burung) // Kebudayaan (Mahkota),"Coklat sogan, hitam",Tulis,Primisima,Sintetis,Non-geometris,"Batik Wahyu Tumurun menghadirkan motif mahkota terbang yang melambangkan kemuliaan dan anugerah dari langit. Pola anggun mencerminkan harapan akan kebijaksanaan, kesejahteraan, serta keberkahan dalam kehidupan yang penuh makna dan kehormatan."
Data 8 Batik Rahayu (Brondong Pentul),Trenggalek,Brondong Pentul,FLORA (Jagung/Corn),"Coklat Susu/Milk Chocolate, Hijau/Green",Tulis,Primisima,Sintetis,Non-geometris,"Menghadirkan motif bunga jagung bermekaran, melambangkan proses yang tertata dan penuh ketekunan. Pola teratur mencerminkan pertumbuhan, ketahanan, dan keseimbangan, menggambarkan perjalanan kehidupan"
Data 9 Batik Rahayu (Truntum Cengkeh),Trenggalek,Truntum Cengkeh,"FLORA (Bunga Truntum, Cengkeh/Clove)",Sogan Merah,Tulis,Primisima,Sintetis,Non-geometris,Motif elegan yang melambangkan kesabaran dan sakralnya pernikahan.
Data 10 Batik Rahayu (Sido Asih Rahayu),Trenggalek,Sido Asih Rahayu,FLORA (Cengkeh/Clove) // Kebudayaan (Motif gurdo),"Merah Kecoklatan/Maroon, Hitam/black",Tulis,Primisima,Sintetis,Non-geometris,"Melambangkan kasih sayang, harapan, dan kehidupan yang penuh cinta. Pola harmonis mencerminkan kehangatan, ketulusan, serta kebersamaan, menghadirkan makna mendalam tentang kebahagiaan"
Data 11 Batik Rahayu (Rawa Klasik),Trenggalek,Rawa Klasik,FLORA (Cengkeh/Clove) // Kebudayaan (Motif gurdo) // Alam (Rawa),Coklat Sogan,Tulis,Primisima,Sintetis,Non-geometris,"Menghadirkan motif cekungan air yang tenang, melambangkan keseimbangan duniawi dan kehidupan manusia. Pola harmonis mencerminkan ketenangan, refleksi diri"
Data 12 Batik Rahayu (Bledak Bouket),Trenggalek,Bledak Bouquet,FLORA (Bunga bouquet),"Coklat/Brown, Hijau/Green, Hitam/Black",Tulis,Primisima,Alam,Non-geometris,"Menggambarkan perjalanan spiritual melalui motif bunga mekar, melambangkan pembersihan jiwa dan pembaruan hidup. Pola harmonis mencerminkan ketulusan, ketenangan, dan keseimbangan, menghadirkan makna mendalam tentang kesadaran serta kesucian hati."
Data 13 Batik Rahayu (Sergung Wiji Timun),Trenggalek,Sergung Wiji Timun,"FLORA (Wiji Timun/Cucumber Wiji, Cengkeh/Clove))",Coklat Sogan,Tulis,Primisima,Sintetis,Geometris,"Motif yang teratur mencerminkan keteraturan dan harmoni. Pola simetris melambangkan ketelitian, keseimbangan, dan keindahan yang lahir dari kerapihan"
Data 14 Batik Rahayu (Penyu Prigi),Trenggalek,Penyu Prigi,FLORA (Buah manggis) // FAUNA (Penyu),"Merah/Red, Ungu/Purple",Tulis,Primisima,Sintetis,Geometris,"Motif penyu Kili-Kili, dan buah manggis, melambangkan kelestarian alam dan kekayaan Trenggalek. Pola harmonis mencerminkan keseimbangan ekosistem, keberlanjutan, serta keterkaitan erat antara manusia dan alam dalam kehidupan pesisir."
Data 15 Batik Rahayu (Koi Keberuntungan),Trenggalek,Koi Keberuntungan,"FLORA (Cengkeh/Clove, Teratai/Lotus) // FAUNA (Ikan Koi/Koi Fish)","Hijau/Green, Biru/Blue",Tulis,Primisima,Sintetis,Non-geometris,"Motif ikan koi yang anggun, melambangkan ketekunan, keberuntungan, dan kesuksesan. Pola mengalir mencerminkan semangat pantang menyerah, membawa harapan akan kehidupan yang sejahtera dan penuh berkah."
