image_path,reference,prediction,ground_truth_class,predicted_class,dinov2_class,dinov2_confidence,motif_mentioned,used_prompt_mode,classification_confidence
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 2 Batik Lana (Pakis Tutul).jpg,"The batik fabric features the Malang motif, characterized by dark green motifs. The dominant motifs include fern plants. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the lamongan motif, characterized by black, white motifs. the dominant motifs include milkfish and catfish. the motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",Malang,lamongan,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 15 Batik Soendari (Sido Candra Kapala).jpg,"The batik fabric features the Malang motif, characterized by chocolate, blue motifs. The dominant motifs include lotus and candra kapala. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the sekarjagad motif, characterized by red, blue, brown, and white motifs. the dominant motif elements appear to be abstract floral designs and swirling patterns. these motifs are arranged in a repeating grid-like pattern across the fabric, with moderate spacing between each element. small dots and short lines are interspersed among the larger motifs, adding texture and detail to the overall design.",Malang,sekarjagad,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 5 Batik Kantil (Mas-mas Mbois).jpg,"The batik fabric features the Malang motif, characterized by brown, orange motifs. The dominant motifs include people dressed in javanese traditional clothes and cempaka putih. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the betawi motif, characterized by red, blue, yellow, and white motifs. the dominant motif elements appear to be stylized figures resembling traditional betawi dancers, interspersed with abstract shapes that resemble leaves or feathers. these motifs are arranged in a repeating pattern down the length of the fabric, spaced evenly apart but varying slightly in their placement along each row. there are no clear indications of isen-isens within this particular section of the batik.",Malang,betawi,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mulifah Data 11 Selempang Bandeng Lele.jpg,"The batik fabric features the Lamongan motif, characterized by red, black, white motifs. The dominant motifs include milkfish and catfish. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the lamongan motif, characterized by black, maroon motifs. the dominant motifs include milkfish and catfish and jasmine flower. the motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",Lamongan,lamongan,,,True,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 4 Batik Soendari (Ikan Maskoki).jpg,"The batik fabric features the Malang motif, characterized by dark blue, cream, pink motifs. The dominant motifs include goldfish. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the lamongan motif, characterized by black, red, blue motifs. the dominant motifs include milkfish and catfish and sea hibiscus. the motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",Malang,lamongan,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Istiqomah Data 6 Merak Nam Katil.jpg,"The batik fabric features the Lamongan motif, characterized by purple motifs. The dominant motifs include peacock and nam. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the buketan motif, characterized by purple, red, black, and white motifs. the dominant motif elements include flowers and birds. the motifs are arranged in a repeating pattern across the fabric, with dense clusters of flowers interspersed with smaller bird figures. the spacing between the motifs varies slightly but remains relatively consistent throughout the design. small dots and lines act as isen-isens, filling gaps between larger motifs and adding texture to the overall pattern.",Lamongan,buketan,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Rahayu (Kleten).jpg,"The batik fabric features the Trenggalek motif, characterized by sogan chocolate, black motifs. The dominant motifs include jasmine flower flora. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the dayak motif, characterized by black, orange, red, and gold motifs. the dominant motif elements appear to be abstract swirls and star-like shapes. these motifs are arranged in a repeating pattern across the fabric, creating a dense and intricate design. the spacing between the motifs is relatively consistent, and they are oriented in various directions, contributing to the overall complexity of the pattern.",Trenggalek,dayak,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 13 Batik Kantil (Buntel).jpg,"The batik fabric features the Malang motif, characterized by brown, green motifs. The dominant motifs include jasmine flower, bunga kantil. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the tribusono motif, characterized by gold, brown, and teal motifs. the dominant motif elements appear to be abstract forms resembling leaves and possibly stylized animals. these motifs are arranged in a non-geometric pattern, with varying densities and orientations that create a dynamic and intricate design. small dots and short lines are interspersed throughout, adding texture and detail to the overall composition.",Malang,tribusono,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 23 Batik Soendari (Padma Latar Ceceg).jpg,"The batik fabric features the Malang motif, characterized by blue, cream motifs. The dominant motifs include lotus and butterfly. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the malang motif, characterized by dark blue, pink motifs. the dominant motifs include lotus, butterfly and weaver bird. the motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition. small dots and short lines are interspersed throughout the design, adding texture and depth to the overall appearance.",Malang,malang,,,True,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mulifah Data 7 Pring Sedapur (Serumpun).jpg,"The batik fabric features the Lamongan motif, characterized by black, brown motifs. The dominant motifs include bamboo. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the lamongan motif, characterized by black, red, white motifs. the dominant motifs include milkfish and catfish and sea hibiscus plant. the motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",Lamongan,lamongan,,,True,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Istiqomah Data 3 Pisang Setandon.jpg,"The batik fabric features the Lamongan motif, characterized by turquoise, black, white motifs. The dominant motifs include banana. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the malang motif, characterized by greenish brown motifs. the dominant motifs include orchid flower flora and mlati. the motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",Lamongan,malang,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 26 Batik Rahayu (Sido Mukti Rahayu).jpg,"The batik fabric features the Trenggalek motif, characterized by chocolate sogan motifs. The dominant motifs include orchid flowers, cloves and sido mukti motif. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the sidomukti motif, characterized by orange, black, and white motifs. the dominant motif elements appear to be geometric shapes, including diamond-like forms and smaller intricate designs within these diamonds. these motifs are arranged in a repeating grid pattern, creating a dense and uniform appearance across the fabric. small dots and short lines are interspersed between the larger motifs, adding texture and detail to the overall design.",Trenggalek,sidomukti,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 13 Batik Wagastu (Sayap Rona Harapan).jpg,"The batik fabric features the Malang motif, characterized by brick red, chocolate motifs. The dominant motifs include mango tree and sparrows. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the trenggalek motif, characterized by chocolate, red motifs. the dominant motifs include cloves. the motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",Malang,trenggalek,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 17 Batik Rahayu (Gringsing Satrio Manah).jpg,"The batik fabric features the Trenggalek motif, characterized by green motifs. The dominant motifs include satrio manah. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the sidomukti motif, characterized by deep brown motifs. the dominant motif elements appear to be abstract geometric shapes and possibly some stylized plant forms. these motifs are arranged in a repeating grid pattern, spaced evenly apart and oriented diagonally across the fabric. small dots and short lines can also be seen interspersed between the larger motifs, adding texture and detail to the design.",Trenggalek,sidomukti,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mutiara S Data 8 Singo Mengkok Kembang Brokoli.jpg,"The batik fabric features the Lamongan motif, characterized by dark blue, light blue, black motifs. The dominant motifs include singo mengkok and cauliflower. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the singa_barong motif, characterized by blue, black, and white motifs. the dominant motif elements appear to be stylized animals resembling lions and mythical creatures, interspersed with abstract floral designs. these motifs are arranged in a repeating pattern across the fabric, creating a dense yet balanced layout that covers the entire surface. small dots and short lines are also visible between the larger motifs, adding texture and detail to the overall design.",Lamongan,singa_barong,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 20 Batik Kantil (Bangau).jpg,"The batik fabric features the Malang motif, characterized by dark blue motifs. The dominant motifs include stork and chrysanthemum flower. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the lamongan motif, characterized by blue, white motifs. the dominant motifs include milkfish and catfish and jasmine flower. the motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",Malang,lamongan,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 19 Batik Tiepuk (Parang Kawung Cengkeh).jpg,"The batik fabric features the Trenggalek motif, characterized by chocolate, black motifs. The dominant motifs include clove plant flora. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the parang motif, characterized by white motifs against a dark background. the dominant motif elements appear as elongated diamond shapes and small circular designs. these motifs are arranged diagonally across the fabric, creating a dynamic pattern that repeats consistently throughout. the spacing between the motifs varies slightly but remains relatively uniform, ensuring a balanced and harmonious appearance.",Trenggalek,parang,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Wagastu (Sayap Sulur Kopi).jpg,"The batik fabric features the Malang motif, characterized by chocolate, green motifs. The dominant motifs include coffee plant, sulur and bird wings. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the malang motif, characterized by brown, green motifs. the dominant motifs include leaf. the motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",Malang,malang,,,True,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 15 Batik Rahayu (Koi Keberuntungan).jpg,"The batik fabric features the Trenggalek motif, characterized by green, blue motifs. The dominant motifs include clove, teratai and koi fish. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the malang motif, characterized by dark blue, lime green motifs. the dominant motifs include sea plant flora and sekarjagat culture. the motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",Trenggalek,malang,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mekar Sari Data 6 Melati Deret.jpg,"The batik fabric features the Lamongan motif, characterized by orange, brown, white motifs. The dominant motifs include jasmine. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features the tuntrum motif, characterized by deep red motifs. the dominant motif elements appear to be small, intricate designs that resemble stylized flowers or leaves. these motifs are arranged in a repeating grid pattern across the fabric, creating a dense and uniform appearance. the spacing between the motifs is consistent, and they are oriented horizontally and vertically, forming a structured and orderly design.",Lamongan,UNKNOWN,,,False,no_class,
