image_path,ground_truth_class,predicted_class,confidence,is_correct,predicted_rank_of_gt,reciprocal_rank
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 28 Batik Kantil (Cendrawasih).jpg,Malang,trenggalek,0.35387930274009705,0,2,0.5
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 15 Batik Soendari (Sido Candra Kapala).jpg,Malang,sekarjagad,0.9178447127342224,0,5,0.2
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 5 Batik Kantil (Mas-mas Mbois).jpg,Malang,malang,0.4857798218727112,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 4 Batik Soendari (Ikan Maskoki).jpg,Malang,lamongan,0.4946019947528839,0,2,0.5
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 21 Batik Wagastu (Parang Kopi).jpg,Malang,malang,0.6486672759056091,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 16 Batik Soendari (Padma Manyar).jpg,Malang,malang,0.47763895988464355,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 5 Batik Blimbing ( Treasure of Jago).jpg,Malang,malang,0.5279630422592163,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 7 Batik Tiepuk (Sulur Anggrek Cengkeh).jpg,Trenggalek,trenggalek,0.5602373480796814,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 13 Batik Kantil (Buntel).jpg,Malang,lamongan,0.5103104710578918,0,4,0.25
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 4 Batik Blimbing (Daniswara Silamukti).jpg,Malang,lamongan,0.8289349675178528,0,2,0.5
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 26 Batik Rahayu (Sido Mukti Rahayu).jpg,Trenggalek,trenggalek,0.8627281785011292,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 13 Batik Wagastu (Sayap Rona Harapan).jpg,Malang,trenggalek,0.5162534713745117,0,2,0.5
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Bengkel (Tameng Pitulungan).jpg,Malang,malang,0.5288147330284119,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Wagastu (Sayap Sulur Kopi).jpg,Malang,malang,0.7849984169006348,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 15 Batik Rahayu (Koi Keberuntungan).jpg,Trenggalek,lamongan,0.5143240690231323,0,3,0.3333333333333333
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mekar Sari Data 6 Melati Deret.jpg,Lamongan,trenggalek,0.6718387603759766,0,3,0.3333333333333333
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 10 Batik Soendari (Candi Badut Trembesi).jpg,Malang,malang,0.7010359764099121,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 14 Batik Blimbing (Ista Malang Kucecwara Gunungan).jpg,Malang,malang,0.6830323338508606,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 2 Batik Wagastu (Kupu-kupu Musim Semi).jpg,Malang,malang,0.42183223366737366,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 8 Batik Kantil (Penyu Klasik).jpg,Malang,malang,0.5378214120864868,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 25 Batik Tiepuk (Sekar Jagad Abstrak).jpg,Trenggalek,lamongan,0.5509145855903625,0,2,0.5
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 8 Batik Tiepuk (Kapur Sirih).jpg,Trenggalek,lamongan,0.3934229016304016,0,2,0.5
