image_path,reference,prediction,ground_truth_class,predicted_class,dinov2_class,dinov2_confidence,motif_mentioned,used_prompt_mode,classification_confidence
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 2 Batik Lana (Pakis Tutul).jpg,"The batik fabric features the Malang motif, characterized by dark green motifs. The dominant motifs include fern plants. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features starfish motifs, characterized by black, white, and gold motifs. the dominant motif elements appear as small, detailed starfish scattered across the fabric. these starfish are arranged in a non-geometric pattern, with varying densities and orientations that create a dynamic yet balanced design. isen-isen, represented by small dots and short lines, fills the spaces between the larger starfish motifs, adding texture and depth to the overall composition.",Malang,UNKNOWN,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 15 Batik Soendari (Sido Candra Kapala).jpg,"The batik fabric features the Malang motif, characterized by chocolate, blue motifs. The dominant motifs include lotus and candra kapala. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features floral motifs, characterized by red, blue, brown, and white motifs. the dominant motif elements appear to be stylized flowers and leaves. these motifs are arranged in a repeating pattern across the fabric, with varying densities and orientations that create a dynamic yet harmonious design. small dots and lines are interspersed between the larger motifs, adding texture and detail to the overall composition.",Malang,UNKNOWN,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 5 Batik Kantil (Mas-mas Mbois).jpg,"The batik fabric features the Malang motif, characterized by brown, orange motifs. The dominant motifs include people dressed in javanese traditional clothes and cempaka putih. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features figurative motifs, characterized by blue, red, yellow, and green figures. the dominant motif elements appear to be stylized human forms wearing various outfits. these figures are arranged in a repeating pattern across the fabric, spaced evenly apart and oriented horizontally. there are no isen-isens or other decorative elements visible within this particular section of the batik.",Malang,UNKNOWN,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mulifah Data 11 Selempang Bandeng Lele.jpg,"The batik fabric features the Lamongan motif, characterized by red, black, white motifs. The dominant motifs include milkfish and catfish. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features floral motifs, characterized by black, brown, and white motifs. the dominant motif elements appear to be small flowers and leaves, interspersed with larger floral clusters. these motifs are arranged diagonally across the fabric, creating a flowing pattern that emphasizes movement and symmetry. the spacing between the motifs varies slightly but remains relatively consistent throughout the design, ensuring a balanced distribution.",Lamongan,UNKNOWN,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 4 Batik Soendari (Ikan Maskoki).jpg,"The batik fabric features the Malang motif, characterized by dark blue, cream, pink motifs. The dominant motifs include goldfish. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features fish motifs, characterized by pink, gold, and white motifs. the dominant motif elements include stylized fish and coral-like structures. these motifs are arranged in a repeating pattern across the fabric, spaced evenly apart and oriented horizontally along the length of the material. small dots and lines act as isen-isens, adding texture and detail between the larger motifs.",Malang,UNKNOWN,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Istiqomah Data 6 Merak Nam Katil.jpg,"The batik fabric features the Lamongan motif, characterized by purple motifs. The dominant motifs include peacock and nam. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features floral motifs, characterized by red, purple, black, and white motifs. the dominant motif elements include flowers and birds. the motifs are arranged in a repeating pattern across the fabric, with dense clustering around central areas and more sparse distribution towards the edges. small dots and short lines act as isen-isens, filling gaps between larger motifs.",Lamongan,UNKNOWN,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Rahayu (Kleten).jpg,"The batik fabric features the Trenggalek motif, characterized by sogan chocolate, black motifs. The dominant motifs include jasmine flower flora. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features swirling motifs, characterized by black, gold, red, and white motifs. the dominant motif elements appear as intricate, flowing curves that resemble stylized leaves or vines. these motifs are arranged in a repeating pattern across the fabric, creating a dense yet balanced design. the spacing between the motifs varies slightly but remains relatively consistent throughout the piece, ensuring a harmonious overall appearance.",Trenggalek,UNKNOWN,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 13 Batik Kantil (Buntel).jpg,"The batik fabric features the Malang motif, characterized by brown, green motifs. The dominant motifs include jasmine flower, bunga kantil. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features swirling dragon motifs, characterized by gold, brown, teal, and pink hues. the dominant motif elements include stylized dragons intertwined with leaves and flowers. these motifs are arranged in a non-repeating pattern across the fabric, with varying densities and orientations that create a dynamic flow from one section to another. small dots and short lines are interspersed throughout, adding texture and detail to the overall design.",Malang,UNKNOWN,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 23 Batik Soendari (Padma Latar Ceceg).jpg,"The batik fabric features the Malang motif, characterized by blue, cream motifs. The dominant motifs include lotus and butterfly. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features floral motifs, characterized by pink, blue, and white motifs. the dominant motif elements include lotus flowers, butterflies, and birds. these motifs are arranged in a repeating pattern across the fabric, spaced evenly but varying slightly in density and orientation. small dots and short lines act as isen-isens, adding texture and detail between the larger motifs.",Malang,UNKNOWN,,,False,no_class,
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Mulifah Data 7 Pring Sedapur (Serumpun).jpg,"The batik fabric features the Lamongan motif, characterized by black, brown motifs. The dominant motifs include bamboo. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.","the batik fabric features floral motifs, characterized by black, white, and brown motifs. the dominant motif elements include fern-like leaves and small flowers. these motifs are arranged in a non-geometric pattern, spaced moderately apart but densely packed within each cluster. small dots and short lines are interspersed throughout the design, adding texture and detail.",Lamongan,UNKNOWN,,,False,no_class,
