image_path,ground_truth_class,predicted_class,confidence,is_correct,predicted_rank_of_gt,reciprocal_rank
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 28 Batik Kantil (Cendrawasih).jpg,Malang,lamongan,0.5210579633712769,0,2,0.5
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 15 Batik Soendari (Sido Candra Kapala).jpg,Malang,sekarjagad,0.844510555267334,0,5,0.2
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 5 Batik Kantil (Mas-mas Mbois).jpg,Malang,malang,0.720790445804596,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 4 Batik Soendari (Ikan Maskoki).jpg,Malang,malang,0.7430630326271057,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 21 Batik Wagastu (Parang Kopi).jpg,Malang,malang,0.8935553431510925,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 16 Batik Soendari (Padma Manyar).jpg,Malang,malang,0.6563683748245239,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 5 Batik Blimbing ( Treasure of Jago).jpg,Malang,malang,0.5844426155090332,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 7 Batik Tiepuk (Sulur Anggrek Cengkeh).jpg,Trenggalek,lamongan,0.6943992376327515,0,2,0.5
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 13 Batik Kantil (Buntel).jpg,Malang,lamongan,0.7429863810539246,0,2,0.5
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 4 Batik Blimbing (Daniswara Silamukti).jpg,Malang,lamongan,0.925700306892395,0,2,0.5
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 26 Batik Rahayu (Sido Mukti Rahayu).jpg,Trenggalek,lamongan,0.5652481913566589,0,2,0.5
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 13 Batik Wagastu (Sayap Rona Harapan).jpg,Malang,malang,0.5972633361816406,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Bengkel (Tameng Pitulungan).jpg,Malang,malang,0.8385282158851624,1,1,1.0
/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Wagastu (Sayap Sulur Kopi).jpg,Malang,malang,0.7475968599319458,1,1,1.0
